"StartDate","EndDate","Status","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q1.2","country","Q2.1","Q2.2","Q2.2_2_TEXT","Q2.3_1","Q2.3_2","Q2.3_3","Q3.2","Q5.2","Q5.3","Q5.4","Q6.2","Q6.3","Q6.4","Q7.2","Q7.3","Q7.4","Q8.2","Q8.3","Q8.4","Q9.2","Q9.3","Q9.4","Q10.2","Q10.3","Q10.4","Q11.2","Q11.3","Q11.4","Q12.2","Q12.3","Q12.4","Q13.2","Q13.3","Q13.4","Q14.2","Q14.3","Q14.4","Q15.2","Q15.3","Q15.4","Q16.2","Q16.3","Q16.4","Q17.2","Q17.3","Q17.4","Q18.2","Q18.3","Q18.4","Q19.2","Q19.3","Q19.4","Q20.2","Q20.3","Q20.4","Q21.2","Q21.3","Q21.4","Q22.2","Q22.3","Q22.4","Q23.2","Q23.3","Q23.4","Q24.2","Q24.3","Q24.4","Q25.2","Q25.3","Q25.4","Q26.2","Q26.3","Q26.4","Q27.2","Q27.3","Q27.4","Q28.2","Q28.3","Q28.4","Q29.2","Q29.3","Q29.4","Q30.2","Q30.3","Q30.4","Q31.2","Q31.3","Q31.4","Q32.2","Q32.3","Q32.4","Q33.2","Q33.3","Q33.4","Q34.2","Q34.3","Q34.4","Q35.2","Q35.3","Q35.4","Q36.2","Q36.3","Q36.4","Q37.2","Q37.3","Q37.4","Q38.2","Q38.3","Q38.4","Q39.2","Q39.3","Q39.4","Q40.2","Q40.3","Q40.4","Q41.3","Q41.4","Q42.2","Q42.3","Q43.2","Q43.3","Q44.2","Q44.3","Q45.2","Q45.3","Q46.2","Q46.3","FL_48_DO_Itemevaluation1","FL_48_DO_Itemevaluation2","FL_48_DO_Itemevaluation3","FL_48_DO_Itemevaluation4","FL_48_DO_Itemevaluation5","FL_48_DO_Itemevaluation6","FL_48_DO_Itemevaluation7","FL_48_DO_Itemevaluation8","FL_48_DO_Itemevaluation9","FL_48_DO_Itemevaluation10","FL_48_DO_Itemevaluation11","FL_48_DO_Itemevaluation12","FL_48_DO_Itemevaluation13","FL_48_DO_Itemevaluation14","FL_48_DO_Itemevaluation15","FL_48_DO_Itemevaluation16","FL_48_DO_Itemevaluation17","FL_48_DO_Itemevaluation18","FL_48_DO_Itemevaluation19","FL_48_DO_Itemevaluation20","FL_48_DO_Itemevaluation21","FL_48_DO_Itemevaluation22","FL_48_DO_Itemevaluation23","FL_48_DO_Itemevaluation24","FL_48_DO_Itemevaluation25","FL_48_DO_Itemevaluation26","FL_48_DO_Itemevaluation27","FL_48_DO_Itemevaluation28","FL_48_DO_Itemevaluation29","FL_48_DO_Itemevaluation30","FL_48_DO_Itemevaluation31","FL_48_DO_Itemevaluation32","FL_48_DO_Itemevaluation33","FL_48_DO_Itemevaluation34","FL_48_DO_Itemevaluation35","FL_48_DO_Itemevaluation36"
2024-01-25 22:08:04,2024-01-25 23:17:37,0,100,4173,1,2024-01-25 23:17:38,"R_7Tu4CT5LTHYE5NL","anonymous","EN",NA,1,"USA",1,"",NA,NA,NA,"For dignity, it's unclear what is meant by independent of /not dependent on others. On other's what? Evaluation of a person's worth? Dignity is also the only one where morality is mentioned in the self or other concern definitions and where the logic is not used as a term in the other and self concern definitions.",1,3,NA,NA,NA,NA,1,3,NA,1,4,NA,NA,NA,NA,1,5,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,5,NA,NA,NA,NA,3,5,NA,3,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,3,2,NA,4,4,NA,NA,NA,NA,5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,6,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"","","General thoughts/feedback:  It strikes me that several of these questions have moral content and assumptions -- are lying and not keeping secrets automatically disrespectful? I wonder if there is a way to make the items more neutral. I also found myself thinking about keeping secrets and having opinions of people who don't respect the dignity of others (which could make some of these items hard to answer for people high in dignity concerns).","","","","6 should not be used.  Items 6 and 7 also stand out as not being reputationally based--6 is the most different from the others and I would have categorized it as self not other. The construct validity is fine, but the phrasing of item 2 is clunky and a bit confusing (who is the ""they""?). Item 4 stood out to me by evoking gender norms unnecessarily and I wonder if it is necessary to include (are there high honor individuals/societies without those traditional gender norms)? Finally, ""close ones"" is weird phrasing in 5.","","Maybe avoid the double negative for 5 -- people could misread and could present issues in translation. Instead, ""people can only respect themselves if they are fulfilling their responsibilities"".","","General feedback: Humility is not obviously a part of other-face as defined as a construct below. Likewise, group harmony and conflict minimization not obviously captured by the definition of preserving the status and face of others.","",16,NA,9,2,NA,14,NA,5,NA,NA,17,NA,6,NA,18,13,3,NA,NA,NA,NA,NA,12,10,15,NA,11,8,NA,NA,NA,1,7,NA,4,NA
2024-01-24 19:38:27,2024-01-26 11:08:10,0,100,142182,1,2024-01-26 11:08:10,"R_8s023Uj9gwhTUor","anonymous","EN",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,1,5,NA,2,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,3,4,NA,NA,NA,NA,3,5,NA,2,4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,2,4,NA,6,5,NA,6,4,NA,NA,NA,NA,6,4,NA,"","","","","","","","","","","","",NA,NA,NA,6,NA,16,15,NA,3,NA,NA,NA,NA,12,18,NA,17,8,NA,11,10,NA,13,NA,NA,NA,2,NA,5,NA,1,9,14,7,NA,4
2024-01-26 12:33:48,2024-01-26 13:14:20,0,100,2432,1,2024-01-26 13:14:21,"R_4sBaNfBABayichv","anonymous","EN",NA,NA,"Armenia",2,"Armenian",NA,NA,NA,"No comments",NA,NA,NA,1,4,NA,1,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,3,4,NA,NA,NA,NA,5,3,NA,5,4,NA,NA,NA,NA,NA,NA,NA,5,4,NA,5,4,NA,6,4,NA,6,3,NA,6,2,NA,6,3,NA,"for me all items are relevant","No","In general, all items relevant, but I would remove the first item.","The verbs of 1st and 3rd items seems very categoric. I just think that maybe it is impossible realize in all cases?","All items are relevant for me","","Maybe  the 6 item. For me it is overlap with self-dignity","","the 6 item. It seems it is complicated.","","It seems that the 2nd and the 5th items are very similar","Maybe we can add instead of 2nd or 5th item the one with following meaning: People should respect and do something/make decision based on opinion/advice of more elders.",NA,17,15,6,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,9,4,1,NA,NA,5,NA,10,NA,3,14,NA,NA,18,11,7,2,8,16
2024-01-26 15:15:15,2024-01-26 15:29:03,0,100,828,1,2024-01-26 15:29:04,"R_6rHPn6A0McFhxDs","anonymous","EN",NA,1,"USA",1,"",NA,NA,NA,"",1,4,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,2,4,NA,3,4,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,5,NA,3,4,NA,NA,NA,NA,5,3,NA,5,3,NA,NA,NA,NA,5,3,NA,5,4,NA,NA,NA,NA,5,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","",17,2,NA,NA,16,NA,12,NA,7,NA,NA,15,9,NA,NA,4,8,NA,NA,NA,11,NA,6,1,NA,3,18,NA,13,5,NA,10,NA,14,NA,NA
2024-01-31 12:04:44,2024-01-31 12:16:28,0,100,703,1,2024-01-31 12:16:28,"R_2417DGDKijE1ABy","anonymous","EN",NA,2,"UK",1,"",NA,NA,NA,"this is a very particular take on honor and ignores the multifaceted view in terms of the content of these self and other concerns, but i take these may feed into the items?",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,3,NA,1,NA,NA,2,4,NA,NA,NA,NA,2,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,3,4,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,NA,1,3,NA,4,2,NA,NA,NA,NA,5,4,NA,NA,NA,NA,5,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,"i wonder if labelling these as 'concern's is the right approach. these look more like value items to me.","","Susan has done some work on honor and secrecy and keeping secrets may be more common in honor/face cultures perhaps, i don't know, since they might serve ingroup harmony and maintain gender relations out of conflict?","","punish might come with physical connnotataions, how about retaliate instead (not sure how this one would score in translation though)","","A person cannot be respected if they are not true to their word: could be dignity-self; loyalty to family might also weigh heavy in face cultures perhaps?","","","","others have more items no?","",NA,NA,NA,6,1,15,16,NA,4,2,NA,NA,8,5,NA,NA,11,13,NA,NA,NA,7,3,17,10,NA,18,NA,14,12,NA,NA,NA,NA,9,NA
2024-02-12 19:45:45,2024-02-12 19:56:16,0,100,630,1,2024-02-12 19:56:17,"R_5375npqXjVdPPsO","anonymous","EN",1,NA,"Canada",1,"",3,3,3,"would the moral foundations of dignity need to be agreed upon? would there have to be consistent reliability in a culture on what these moral foundations are?  Culture impacts moral perception...eg is ""fairness"" based on equity or equality?",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,4,NA,2,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,3,NA,4,4,NA,3,3,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,6,3,NA,3,3,NA,NA,NA,NA,6,5,NA,6,2,NA,6,3,NA,NA,NA,NA,"","","","","This item does not follow directly from the definition, I think:  A person must show strength to be respected","","","","These all look really good!","","Are #3 and #4 distinct enough to warrant separate questions?","",NA,1,NA,NA,3,16,5,6,NA,NA,NA,NA,NA,2,NA,11,NA,NA,12,15,17,10,8,NA,NA,NA,NA,NA,18,4,9,NA,7,14,13,NA
2024-02-12 19:49:57,2024-02-12 20:10:20,0,100,1222,1,2024-02-12 20:10:20,"R_7OVI8eYkPjwwYhZ","anonymous","EN",1,1,"USA",2,"",3,2,2,"",4,4,1,NA,NA,NA,3,4,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,2,5,1,3,4,1,2,5,1,3,5,1,NA,NA,NA,3,5,1,NA,NA,NA,3,3,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,5,1,6,5,1,6,4,1,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,"5 seems to be less aligned with the provided definition since it focuses on opinions that may or may not be relevant to one's worth","","","","","","","","","","","",3,NA,4,10,NA,NA,NA,NA,7,9,17,8,15,NA,18,NA,13,1,NA,NA,NA,NA,NA,12,14,5,2,6,NA,NA,NA,11,NA,NA,NA,16
2024-02-12 20:04:11,2024-02-12 20:20:40,0,100,989,1,2024-02-12 20:20:41,"R_3DORoAcBrGJpp6t","anonymous","EN",1,1,"US",1,"",2,2,2,"I had dignity wrong in this framework",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,4,3,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,3,4,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,6,5,NA,NA,NA,NA,5,5,NA,3,3,NA,NA,NA,NA,5,4,NA,5,2,NA,5,3,NA,5,1,NA,6,3,NA,4,5,NA,NA,NA,NA,6,2,NA,4,5,NA,"","","#2 might relate to the other concepts a bit more so seems less clean to me than the other options. e.g., if my society has a norm about no gossip then it might be face if I violate that norm. I  know the definition has in-group in it for face, though, so it isn't crystal clear that the item is a problem.","","","","I agree these are honor but some might also be face","","","","","",NA,NA,NA,NA,NA,3,NA,10,NA,18,NA,NA,NA,9,14,NA,2,NA,NA,NA,13,NA,6,NA,1,5,NA,15,11,17,12,16,7,NA,4,8
2024-02-12 20:05:13,2024-02-12 20:22:21,0,100,1028,1,2024-02-12 20:22:22,"R_2QGF6zs7yFqJLWt","anonymous","EN",1,NA,"Poland",2,"Polish",2,1,1,"All pretty straightforward",1,5,1,1,5,2,1,5,1,1,5,1,2,5,1,NA,NA,NA,6,3,1,NA,NA,NA,2,2,1,NA,NA,NA,4,2,1,2,4,1,3,5,1,NA,NA,NA,NA,NA,NA,3,5,1,NA,NA,NA,5,5,1,4,4,2,4,5,1,NA,NA,NA,1,3,1,NA,NA,NA,5,3,1,NA,NA,NA,NA,NA,NA,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1,NA,NA,NA,NA,NA,NA,"The first 4 items are great. The last 2 are a little bit worse, so if I were to drop any, I'd drop either the 5th or 6th item.","","To be honest, only two of these items seem like a good fit (i.e., ""People should be treated with respect, no matter who they are"" and ""People should respect others? right to have a different opinion or a different lifestyle"").","","The first three are great, but the last three - not so much!","","","""People should be concerned about damaging their families? reputation"" - maybe change to 'People should be concerned when their families' reputation is being damaged'?","I don't like the fourth item (""People should avoid situations where they could be embarrassed""). It just doesn't feel right.","","The first item (""People should be humble so as to maintain good relationships""), some role expectations may not require being humble (e.g., a policeman). So this seems to contradict the definition of face other-concern.","",12,15,5,13,4,NA,17,NA,16,NA,9,1,11,NA,NA,7,NA,3,2,14,NA,6,NA,8,NA,NA,10,NA,NA,NA,NA,NA,NA,18,NA,NA
2024-02-12 20:14:06,2024-02-12 21:06:33,0,100,3147,1,2024-02-12 21:06:34,"R_4QuKfZm0T6BZK1j","anonymous","EN",1,3,"Turkey",2,"Turkish",4,3,3,"",1,4,2,NA,NA,NA,NA,NA,NA,1,4,2,1,4,2,1,5,1,3,2,2,6,5,1,NA,NA,NA,6,3,1,NA,NA,NA,2,4,2,5,5,1,NA,NA,NA,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,NA,NA,NA,4,4,2,3,3,2,4,3,1,NA,NA,NA,NA,NA,NA,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,6,3,1,6,4,2,"May be, item 3. The phrase ""stand up"" associates with honor norm endorsement (as in fighting for defending honor).","","Item 1 seemed closer to honor-self  as keeping promises is important for protecting reputation. 
I evaluated item 2 as face-other because talking behind one's back potentially harms their face/status. (And for ?tem 3 for the same reason)
","I think this measure is hard to conceptualize but will emerge as a distinct construct provided that the other five revolve around smaller themes.
One way would be increasing number of items  that resemble ?tem 6","","","","Honor-other items are a good example of what i meant in the dignity other section. All the items share themes of respect and family. This suggestion may harm the content validitiy but may be a similar approach can be endorsed for dignity-other items. They share a universalistic treatment theme but the specific actions (e.g. lying, gossiping) shift some items to other dimensions","No concerns","","Item 1 can also be result of self concern as humility is a value and can be endorsed as an strategy to preserve face","",8,NA,NA,6,16,1,12,2,NA,17,NA,14,4,NA,9,NA,NA,NA,NA,NA,18,NA,15,13,10,NA,NA,11,NA,NA,NA,NA,NA,5,7,3
