"","AGE_W1_CORE","ATTVIO12_W6","ATTVIO1_W6","COUNTRY_W6","DFH1_W6","DFH2_W6","DFH3_W6","DFH4_W6","DFH5_W6","DFH6_W6","DFH7_W6","DFH8_W6","DFH9_W6","DFH10_W6","DFH11_W6","DFH12_W6","DFH13_W6","DFH14_W6","DFH15_W6","DFH16_W6","DFH17_W6","DFH18_W6","DFH19_W6","DFH20_W6","DFH21_W6","DFH22_W6","DFH23_W6","DFH24_W6","DFH25_W6","DFH26_W6","DFH27_W6","DFH28_W6","DFH29_W6","DFH30_W6","DFHNORMS1_W6","DFHNORMS2_W6","DFHNORMS3_W6","DFHNORMS4_W6","DFHNORMS5_W6","DFHNORMS6_W6","DFHNORMS7_W6","DFHNORMS8_W6","DFHNORMS9_W6","DFHNORMS10_W6","DFHNORMS11_W6","DFHNORMS12_W6","DFHNORMS13_W6","DFHNORMS14_W6","DFHNORMS15_W6","DFHNORMS16_W6","DFHNORMS17_W6","DFHNORMS18_W6","DFHNORMS19_W6","DFHNORMS20_W6","DFHNORMS21_W6","DFHNORMS22_W6","DFHNORMS23_W6","DFHNORMS24_W6","DFHNORMS25_W6","DFHNORMS26_W6","DFHNORMS27_W6","DFHNORMS28_W6","DFHNORMS29_W6","DFHNORMS30_W6","EDUCATION_W6","ETHNICITY_SA_CORE","GENDER_CORE","RELIGION_W2_CORE","SELFFACE1_W6","SELFFACE2_W6","SELFFACE3_W6","SELFFACE4_W6","SELFFACE5_W6","SELFFACE6_W6","SELFFACE7_W6","SELFFACE8_W6","SELFFACE9_W6","SELFFACE10_W6","SELFFACE11_W6","SELFFACE12_W6","SELFFACE13_W6"
"1","17","2","4","Namibia","4","4","5","4","1","4","5","2","2","2","3","2","4","2","2","5","2","5","5","4","4","5","5","2","2","2","5","5","5","5","NA","NA","NA","NA","NA","NA","NA","5","3","NA","4","5","NA","NA","NA","4","NA","4","NA","NA","3","NA","NA","2","NA","5","NA","2","NA","NA","4","available upon request","0","christianity","5","0","2","3","6","4","2","2","4","2","2","2","4"
"2","18","2","5","Namibia","2","6","5","5","3","5","2","1","5","5","6","5","5","4","5","3","5","3","5","5","2","5","5","6","6","5","4","5","6","4","NA","NA","NA","NA","5","5","5","NA","NA","NA","NA","3","NA","NA","5","NA","3","5","NA","NA","NA","NA","4","NA","2","5","NA","NA","NA","NA","6","available upon request","0","christianity","4","0","7","7","7","7","7","5","7","7","7","7","5"
"3","18","1","3","Namibia","6","6","5","6","6","6","5","5","6","6","4","1","6","2","4","6","4","5","6","5","5","3","5","5","6","2","3","5","6","5","5","NA","NA","4","5","NA","4","4","NA","NA","NA","NA","NA","5","NA","NA","3","NA","NA","4","NA","NA","NA","NA","NA","NA","2","NA","NA","3","1","available upon request","0","christianity","2","0","6","7","7","7","7","7","5","4","7","4","6"
"4","18","NA","NA","Namibia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","available upon request","0","christianity","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","18","5","2","Namibia","5","5","5","5","5","5","5","5","5","5","5","5","4","5","6","5","5","5","3","5","5","5","5","4","5","5","5","5","5","5","NA","NA","NA","NA","NA","5","3","NA","4","4","4","NA","NA","3","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","5","4","NA","NA","2","available upon request","0","christianity","1","1","5","5","6","5","4","6","4","4","6","4","4"
"6","18","2","3","Namibia","4","6","6","5","5","6","6","6","6","5","5","5","5","3","6","6","4","5","5","5","4","5","5","5","5","1","5","5","5","5","6","NA","NA","NA","NA","NA","6","NA","NA","NA","6","NA","6","NA","NA","NA","6","NA","NA","4","5","NA","NA","NA","NA","NA","1","5","NA","5","4","available upon request","1","christianity","3","1","2","5","6","2","3","6","6","2","6","2","4"
"7","18","2","5","Namibia","5","3","6","3","4","6","6","2","5","6","6","1","6","6","6","1","5","5","6","6","2","4","6","6","4","6","3","4","6","6","4","4","NA","NA","6","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","5","NA","5","3","NA","3","NA","NA","1","NA","6","available upon request","1","NA","1","0","3","6","6","5","3","4","1","7","4","6","3"
"8","18","1","3","Namibia","6","6","6","4","6","5","5","6","5","2","6","2","3","6","6","6","5","5","6","5","5","5","5","6","4","4","4","6","4","4","NA","NA","6","NA","6","NA","6","5","5","NA","6","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","5","NA","3","NA","NA","NA","NA","2","available upon request","0","christianity","5","1","1","2","2","4","4","4","1","7","7","7","7"
"9","18","4","1","Namibia","4","1","3","3","3","5","1","1","1","4","4","5","1","2","6","6","1","1","1","6","5","2","3","4","1","5","4","1","1","1","3","NA","5","1","3","NA","NA","1","NA","NA","NA","3","NA","NA","NA","2","NA","NA","NA","6","NA","NA","NA","NA","NA","1","2","NA","NA","NA","5","available upon request","0","christianity","2","1","3","4","5","5","7","4","6","1","2","3","4"
"10","18","1","2","Namibia","4","6","6","3","6","6","5","2","6","4","1","3","5","1","4","6","4","6","6","6","5","2","6","5","5","1","6","6","6","6","NA","4","NA","NA","NA","NA","5","NA","NA","2","5","NA","6","NA","NA","NA","NA","4","NA","NA","NA","NA","4","4","NA","5","4","NA","NA","NA","1","available upon request","1","christianity","3","1","2","5","7","2","4","6","1","1","1","1","3"
"11","20","1","4","Namibia","6","6","5","4","4","6","6","5","6","4","4","4","6","1","6","6","6","6","6","6","6","4","6","6","6","6","5","6","6","6","4","NA","4","4","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","6","4","3","NA","NA","NA","NA","3","NA","NA","4","NA","NA","NA","6","NA","2","available upon request","1","christianity","2","1","7","7","7","7","7","7","7","5","7","5","5"
"12","18","3","2","Namibia","6","5","2","2","5","2","4","5","3","4","6","2","6","5","2","4","6","1","1","6","3","4","3","1","4","4","4","6","6","6","NA","NA","NA","2","NA","NA","NA","5","NA","6","NA","NA","3","5","NA","NA","NA","NA","NA","1","NA","4","NA","NA","1","NA","4","6","NA","NA","6","available upon request","0","christianity","3","0","2","4","4","4","6","5","5","5","6","5","5"
"13","18","4","2","Namibia","5","5","5","5","4","6","6","6","6","5","3","5","6","5","4","4","4","6","4","6","4","4","6","6","4","4","5","6","5","5","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","6","6","NA","6","6","NA","NA","NA","6","6","NA","NA","6","5","NA","6","NA","NA","1","available upon request","1","an african traditional religion","2","1","6","5","7","5","6","4","6","7","7","6","6"
"14","20","1","1","Namibia","6","6","6","1","6","6","6","6","6","6","3","1","1","3","6","5","2","2","6","5","4","5","4","5","5","1","1","6","6","5","NA","NA","NA","NA","NA","NA","6","NA","6","6","4","NA","NA","NA","NA","4","NA","3","6","4","5","NA","NA","5","NA","NA","NA","NA","NA","NA","2","available upon request","0","christianity","5","0","6","7","7","4","4","6","6","2","2","2","2"
