Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1741123139212,04/03/2025 21:18,1741133939212,3.5,05/03/2025 03:18,216012,2,questionnaire-sq3w,,44061873,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744035854629,07/04/2025 14:24,1744046654629,3.5,07/04/2025 20:24,216012,3,questionnaire-sq3w,,45169706,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744045236926,07/04/2025 17:00,1744056036926,3.5,07/04/2025 23:00,216012,3,questionnaire-sq3w,,45175605,BLINDED,13134977,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x735,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744056983785,07/04/2025 20:16,1744067783785,3.5,08/04/2025 02:16,216012,3,questionnaire-sq3w,,45183467,BLINDED,13136832,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x851,392x718,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744058325046,07/04/2025 20:38,1744069125046,3.5,08/04/2025 02:38,216012,3,questionnaire-sq3w,,45184173,BLINDED,13136988,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x776,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744058791986,07/04/2025 20:46,1744069591986,3.5,08/04/2025 02:46,216012,3,questionnaire-sq3w,,45184425,BLINDED,13137047,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x776,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744058909251,07/04/2025 20:48,1744069709251,3.5,08/04/2025 02:48,216012,3,questionnaire-sq3w,,45184481,BLINDED,13137063,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x915,411x832,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744058936248,07/04/2025 20:48,1744069736248,3.5,08/04/2025 02:48,216012,3,questionnaire-sq3w,,45184497,BLINDED,13137069,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x695,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744059132851,07/04/2025 20:52,1744069932851,3.5,08/04/2025 02:52,216012,3,questionnaire-sq3w,,45184600,BLINDED,13137090,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744059172108,07/04/2025 20:52,1744069972108,3.5,08/04/2025 02:52,216012,3,questionnaire-sq3w,,45184619,BLINDED,13137096,,live,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x915,411x780,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744059239092,07/04/2025 20:53,1744070039092,3.5,08/04/2025 02:53,216012,3,questionnaire-sq3w,,45184643,BLINDED,13137102,,live,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,428x926,428x745,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744059502054,07/04/2025 20:58,1744070302054,3.5,08/04/2025 02:58,216012,3,questionnaire-sq3w,,45184795,BLINDED,13137129,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x915,411x780,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744060174404,07/04/2025 21:09,1744070974404,3.5,08/04/2025 03:09,216012,3,questionnaire-sq3w,,45185065,BLINDED,13137194,,live,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,390x844,390x648,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744060965238,07/04/2025 21:22,1744071765238,3.5,08/04/2025 03:22,216012,3,questionnaire-sq3w,,45185339,BLINDED,13137261,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,390x844,390x648,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744088101234,08/04/2025 04:55,1744098901234,3.5,08/04/2025 10:55,216012,3,questionnaire-sq3w,,45189261,BLINDED,13138452,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x854,384x751,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744089081257,08/04/2025 05:11,1744099881257,3.5,08/04/2025 11:11,216012,3,questionnaire-sq3w,,45189419,BLINDED,13138489,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,412x915,411x776,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744089182243,08/04/2025 05:13,1744099982243,3.5,08/04/2025 11:13,216012,3,questionnaire-sq3w,,45189444,BLINDED,13138495,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.6998.135,412x846,411x718,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744090606706,08/04/2025 05:36,1744101406706,3.5,08/04/2025 11:36,216012,3,questionnaire-sq3w,,45189582,BLINDED,13138537,,live,,,mobile,Apple iPhone,iOS 15.8.3,Mobile Safari 15.8.3,414x736,414x601,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744092982949,08/04/2025 06:16,1744103782949,3.5,08/04/2025 12:16,216012,3,questionnaire-sq3w,,45189772,BLINDED,13138594,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x695,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744092543513,08/04/2025 06:09,1744103343513,3.5,08/04/2025 12:09,216012,3,questionnaire-sq3w,,45189722,BLINDED,13138574,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x857,384x729,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744091610386,08/04/2025 05:53,1744102410386,3.5,08/04/2025 11:53,216012,3,questionnaire-sq3w,,45189640,BLINDED,13138557,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.37,412x892,411x756,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744093704836,08/04/2025 06:28,1744104504836,3.5,08/04/2025 12:28,216012,3,questionnaire-sq3w,,45189874,BLINDED,13138631,,live,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744093907214,08/04/2025 06:31,1744104707214,3.5,08/04/2025 12:31,216012,3,questionnaire-sq3w,,45189892,BLINDED,13138637,,live,,,mobile,undefined undefined,Android 11,Firefox 135.0,516x1147,516x984,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744094362163,08/04/2025 06:39,1744105162163,3.5,08/04/2025 12:39,216012,3,questionnaire-sq3w,,45189933,BLINDED,13138647,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.37,393x873,392x735,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744094451101,08/04/2025 06:40,1744105251101,3.5,08/04/2025 12:40,216012,3,questionnaire-sq3w,,45189944,BLINDED,13138650,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x699,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744093279371,08/04/2025 06:21,1744104079371,3.5,08/04/2025 12:21,216012,3,questionnaire-sq3w,,45189801,BLINDED,13138607,,live,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x873,392x771,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744091199685,08/04/2025 05:46,1744101999685,3.5,08/04/2025 11:46,216012,3,questionnaire-sq3w,,45190032,BLINDED,13138677,,live,,,mobile,undefined K,Android 8.1.0,Chrome 133.0.6943.137,360x760,360x637,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744095269723,08/04/2025 06:54,1744106069723,3.5,08/04/2025 12:54,216012,3,questionnaire-sq3w,,45190115,BLINDED,13138695,,live,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,393x873,392x735,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744102385168,08/04/2025 08:53,1744113185168,3.5,08/04/2025 14:53,216012,3,questionnaire-sq3w,,45194312,BLINDED,13141324,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x775,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744107563366,08/04/2025 10:19,1744118363366,3.5,08/04/2025 16:19,216012,3,questionnaire-sq3w,,45195329,BLINDED,13141587,,complete,,,mobile,Apple iPhone,iOS 15.8.3,Mobile Safari 15.8.3,414x736,414x601,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744108793794,08/04/2025 10:39,1744119593794,3.5,08/04/2025 16:39,216012,3,questionnaire-sq3w,,45196390,BLINDED,13141755,,live,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x851,392x718,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744114872953,08/04/2025 12:21,1744125672953,3.5,08/04/2025 18:21,216012,3,questionnaire-sq3w,,45200161,BLINDED,13142549,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,360x800,360x666,,,0,Consent form Behzadnia,2,consent,موافقم.,1
1,1744114462779,08/04/2025 12:14,1744125262779,3.5,08/04/2025 18:14,216012,3,questionnaire-sq3w,,45199912,BLINDED,13142480,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x784,,,0,Consent form Behzadnia,2,consent,موافقم.,1
