Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1741124407228,04/03/2025 21:40,1741135207228,3.5,05/03/2025 03:40,216012,2,questionnaire-y8yi,,44062462,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744037359588,07/04/2025 14:49,1744048159588,3.5,07/04/2025 20:49,216012,3,questionnaire-y8yi,,45170723,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744046135006,07/04/2025 17:15,1744056935006,3.5,07/04/2025 23:15,216012,3,questionnaire-y8yi,,45176196,BLINDED,13134977,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1744057802609,07/04/2025 20:30,1744068602609,3.5,08/04/2025 02:30,216012,3,questionnaire-y8yi,,45183905,BLINDED,13136832,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x851,392x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744059108357,07/04/2025 20:51,1744069908357,3.5,08/04/2025 02:51,216012,3,questionnaire-y8yi,,45184596,BLINDED,13136988,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744059890064,07/04/2025 21:04,1744070690064,3.5,08/04/2025 03:04,216012,3,questionnaire-y8yi,,45184959,BLINDED,13137047,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744059359520,07/04/2025 20:55,1744070159520,3.5,08/04/2025 02:55,216012,3,questionnaire-y8yi,,45184730,BLINDED,13137063,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x915,411x832,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744060563441,07/04/2025 21:16,1744071363441,3.5,08/04/2025 03:16,216012,3,questionnaire-y8yi,,45185192,BLINDED,13137129,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x915,411x780,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744061209995,07/04/2025 21:26,1744072009995,3.5,08/04/2025 03:26,216012,3,questionnaire-y8yi,,45185416,BLINDED,13137261,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744088583348,08/04/2025 05:03,1744099383348,3.5,08/04/2025 11:03,216012,3,questionnaire-y8yi,,45189335,BLINDED,13138452,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x854,384x751,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744090500745,08/04/2025 05:35,1744101300745,3.5,08/04/2025 11:35,216012,3,questionnaire-y8yi,,45189573,BLINDED,13138489,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744089714157,08/04/2025 05:21,1744100514157,3.5,08/04/2025 11:21,216012,3,questionnaire-y8yi,,45189506,BLINDED,13138495,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.6998.135,412x846,411x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744091470196,08/04/2025 05:51,1744102270196,3.5,08/04/2025 11:51,216012,3,questionnaire-y8yi,,45189625,BLINDED,13138537,,live,,,mobile,Apple iPhone,iOS 15.8.3,Mobile Safari 15.8.3,414x736,414x601,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744093427772,08/04/2025 06:23,1744104227772,3.5,08/04/2025 12:23,216012,3,questionnaire-y8yi,,45189820,BLINDED,13138594,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x695,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744092992053,08/04/2025 06:16,1744103792053,3.5,08/04/2025 12:16,216012,3,questionnaire-y8yi,,45189773,BLINDED,13138574,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x857,384x729,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744092520623,08/04/2025 06:08,1744103320623,3.5,08/04/2025 12:08,216012,3,questionnaire-y8yi,,45189719,BLINDED,13138557,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.37,412x892,411x756,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744094482926,08/04/2025 06:41,1744105282926,3.5,08/04/2025 12:41,216012,3,questionnaire-y8yi,,45189947,BLINDED,13138637,,live,,,mobile,undefined undefined,Android 11,Firefox 135.0,516x1147,516x984,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۰,1
1,1744096349316,08/04/2025 07:12,1744107149316,3.5,08/04/2025 13:12,216012,3,questionnaire-y8yi,,45190289,BLINDED,13138647,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.37,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744095233091,08/04/2025 06:53,1744106033091,3.5,08/04/2025 12:53,216012,3,questionnaire-y8yi,,45190106,BLINDED,13138650,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744092157174,08/04/2025 06:02,1744102957174,3.5,08/04/2025 12:02,216012,3,questionnaire-y8yi,,45190190,BLINDED,13138677,,live,,,mobile,undefined K,Android 8.1.0,Chrome 133.0.6943.137,360x760,360x637,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744095627347,08/04/2025 07:00,1744106427347,3.5,08/04/2025 13:00,216012,3,questionnaire-y8yi,,45190157,BLINDED,13138695,,live,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744103446445,08/04/2025 09:10,1744114246445,3.5,08/04/2025 15:10,216012,3,questionnaire-y8yi,,45195014,BLINDED,13141324,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x915,411x775,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1744108003707,08/04/2025 10:26,1744118803707,3.5,08/04/2025 16:26,216012,3,questionnaire-y8yi,,45195740,BLINDED,13141587,,complete,,,mobile,Apple iPhone,iOS 15.8.3,Mobile Safari 15.8.3,414x736,414x601,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744109181778,08/04/2025 10:46,1744119981778,3.5,08/04/2025 16:46,216012,3,questionnaire-y8yi,,45196750,BLINDED,13141755,,live,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x851,392x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744117317052,08/04/2025 13:01,1744128117052,3.5,08/04/2025 19:01,216012,3,questionnaire-y8yi,,45202683,BLINDED,13142549,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,360x800,360x666,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744115125382,08/04/2025 12:25,1744125925382,3.5,08/04/2025 18:25,216012,3,questionnaire-y8yi,,45200314,BLINDED,13142480,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x784,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744116038662,08/04/2025 12:40,1744126838662,3.5,08/04/2025 18:40,216012,3,questionnaire-y8yi,,45201056,BLINDED,13142682,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x873,392x771,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744120711966,08/04/2025 13:58,1744131511966,3.5,08/04/2025 19:58,216012,3,questionnaire-y8yi,,45206142,BLINDED,13143701,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x851,392x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۸ ,9
1,1744121892941,08/04/2025 14:18,1744132692941,3.5,08/04/2025 20:18,216012,3,questionnaire-y8yi,,45207231,BLINDED,13143890,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,412x915,411x806,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۰,1
1,1744138847599,08/04/2025 19:00,1744149647599,3.5,09/04/2025 01:00,216012,3,questionnaire-y8yi,,45219737,BLINDED,13146498,,live,,,mobile,undefined undefined,Android 12,Firefox 136.0,408x907,408x765,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744140757041,08/04/2025 19:32,1744151557041,3.5,09/04/2025 01:32,216012,3,questionnaire-y8yi,,45220735,BLINDED,13146950,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,393x895,393x787,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744142399073,08/04/2025 19:59,1744153199073,3.5,09/04/2025 01:59,216012,3,questionnaire-y8yi,,45221484,BLINDED,13147176,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,385x854,384x721,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744179886500,09/04/2025 06:24,1744154686500,-7,08/04/2025 16:24,216012,3,questionnaire-y8yi,,45221280,BLINDED,13147041,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744145126502,08/04/2025 20:45,1744155926502,3.5,09/04/2025 02:45,216012,3,questionnaire-y8yi,,45222848,BLINDED,13147419,,complete,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,393x851,392x719,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۱,2
1,1744189856939,09/04/2025 09:10,1744200656939,3.5,09/04/2025 15:10,216012,3,questionnaire-y8yi,,45233257,BLINDED,13149904,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1744195981319,09/04/2025 10:53,1744206781319,3.5,09/04/2025 16:53,216012,3,questionnaire-y8yi,,45237561,BLINDED,13150653,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,412x869,411x732,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744274300508,10/04/2025 08:38,1744285100508,3.5,10/04/2025 14:38,216012,3,questionnaire-y8yi,,45269954,BLINDED,13157980,,live,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,412x869,411x734,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744283548858,10/04/2025 11:12,1744294348858,3.5,10/04/2025 17:12,216012,3,questionnaire-y8yi,,45276840,BLINDED,13159348,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,393x873,392x783,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744292967324,10/04/2025 13:49,1744303767324,3.5,10/04/2025 19:49,216012,3,questionnaire-y8yi,,45284649,BLINDED,13161334,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,385x854,384x725,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744293019383,10/04/2025 13:50,1744303819383,3.5,10/04/2025 19:50,216012,3,questionnaire-y8yi,,45284764,BLINDED,13161221,,live,,,mobile,undefined undefined,Android 11,Firefox 132.0,378x819,378x694,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۶,7
1,1744293000167,10/04/2025 13:50,1744303800167,3.5,10/04/2025 19:50,216012,3,questionnaire-y8yi,,45284730,BLINDED,13161282,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1744292419434,10/04/2025 13:40,1744303219434,3.5,10/04/2025 19:40,216012,3,questionnaire-y8yi,,45283716,BLINDED,13161241,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x700,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۶,7
1,1744292712532,10/04/2025 13:45,1744303512532,3.5,10/04/2025 19:45,216012,3,questionnaire-y8yi,,45284191,BLINDED,13161209,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.37,384x832,384x728,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744291170829,10/04/2025 13:19,1744301970829,3.5,10/04/2025 19:19,216012,3,questionnaire-y8yi,,45281835,BLINDED,13160787,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x695,412x695,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۷ ,8
1,1744279658560,10/04/2025 10:07,1744290458560,3.5,10/04/2025 16:07,216012,3,questionnaire-y8yi,,45276512,BLINDED,13159218,,live,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,393x873,392x736,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744293088317,10/04/2025 13:51,1744303888317,3.5,10/04/2025 19:51,216012,3,questionnaire-y8yi,,45284914,BLINDED,13161431,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.135,393x873,392x766,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744294638983,10/04/2025 14:17,1744305438983,3.5,10/04/2025 20:17,216012,3,questionnaire-y8yi,,45287311,BLINDED,13161907,,live,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,385x854,384x725,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744290896316,10/04/2025 13:14,1744301696316,3.5,10/04/2025 19:14,216012,3,questionnaire-y8yi,,45287221,BLINDED,13162045,,complete,,,mobile,undefined K,Android 10,Edge 134.0.0.0,393x851,392x724,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۱,2
1,1744137281791,08/04/2025 18:34,1744148081791,3.5,09/04/2025 00:34,216012,3,questionnaire-y8yi,,45218995,BLINDED,13146534,,complete,,,mobile,undefined undefined,Android 10,Firefox 136.0,396x858,396x725,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744125045886,08/04/2025 15:10,1744135845886,3.5,08/04/2025 21:10,216012,3,questionnaire-y8yi,,45210175,BLINDED,13144341,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1744129653166,08/04/2025 16:27,1744144053166,4.5,09/04/2025 00:27,216012,3,questionnaire-y8yi,,45214506,BLINDED,13145629,,complete,,,mobile,Xiaomi Redmi Note 9S,Android 12,Chrome 103.0.0.0,393x873,393x780,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1744126537541,08/04/2025 15:35,1744137337541,3.5,08/04/2025 21:35,216012,3,questionnaire-y8yi,,45211623,BLINDED,13144661,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744120851675,08/04/2025 14:00,1744131651675,3.5,08/04/2025 20:00,216012,3,questionnaire-y8yi,,45209788,BLINDED,13144243,,complete,,,mobile,undefined K,Android 11,Chrome 134.0.6998.40,412x892,411x756,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744293858202,10/04/2025 14:04,1744304658202,3.5,10/04/2025 20:04,216012,3,questionnaire-y8yi,,45290529,BLINDED,13162662,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,412x869,411x765,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1744297191346,10/04/2025 14:59,1744307991346,3.5,10/04/2025 20:59,216012,3,questionnaire-y8yi,,45290238,BLINDED,13162642,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1744299338098,10/04/2025 15:35,1744310138098,3.5,10/04/2025 21:35,216012,3,questionnaire-y8yi,,45292873,BLINDED,13163224,,live,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,384x854,384x754,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1744299252174,10/04/2025 15:34,1744310052174,3.5,10/04/2025 21:34,216012,3,questionnaire-y8yi,,45292755,BLINDED,13163088,,complete,,,mobile,Apple iPhone,iOS 17.7,Mobile Safari 17.7,375x812,375x619,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
