Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1741124365769,04/03/2025 21:39,1741135165769,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1741124395861,04/03/2025 21:39,1741135195861,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,30155.200000001118,30148,30155.200000001118,30155.200000001118,30148,30155.200000001118,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1741124395866,04/03/2025 21:39,1741135195866,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,19271,30148,30160.599999999627,19271,30148,30160.599999999627,1,10889.599999999627,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
4,1741124395867,04/03/2025 21:39,1741135195867,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون,29279.800000000003,30148,30162.5,29279.800000000003,30148,30162.5,1,882.6999999999971,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
5,1741124395875,04/03/2025 21:39,1741135195875,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,21.59999999962747,16.900000000001455,21.59999999962747,21.59999999962747,16.900000000001455,21.59999999962747,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
6,1741124395888,04/03/2025 21:39,1741135195888,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,18.800000001116132,16.900000000001455,18.800000001116132,18.800000001116132,16.900000000001455,18.800000001116132,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
7,1741124398870,04/03/2025 21:39,1741135198870,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,2984.1000000003696,2976.0999999999985,2984.1000000003696,2984.1000000003696,2976.0999999999985,2984.1000000003696,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
8,1741124398872,04/03/2025 21:39,1741135198872,3.5,05/03/2025 03:39,216012,2,task-aguj,,44062436,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Dictator Game Comprehension,9,consent,Spreadsheet1,,,,,,,info,END,,,32832,,,,,,,,,,,,,,
1,1744037312537,07/04/2025 14:48,1744048112537,3.5,07/04/2025 20:48,216012,3,task-aguj,,45170690,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1744037348872,07/04/2025 14:49,1744048148872,3.5,07/04/2025 20:49,216012,3,task-aguj,,45170690,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,36411.99999998808,36404.100000000006,36411.99999998808,36411.99999998808,36404.100000000006,36411.99999998808,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1744037348876,07/04/2025 14:49,1744048148876,3.5,07/04/2025 20:49,216012,3,task-aguj,,45170690,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,20241.3,36404.100000000006,36416.8,20241.3,36404.100000000006,36416.8,1,16175.500000000004,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
