Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1741124465456,04/03/2025 21:41,1741135265456,3.5,05/03/2025 03:41,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1741124530550,04/03/2025 21:42,1741135330550,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,65129.700000000375,65123,65129.700000000375,65129.700000000375,65123,65129.700000000375,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
3,1741124530555,04/03/2025 21:42,1741135330555,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,42116.700000000004,65123,65134.8,42116.700000000004,65123,65134.8,1,23018.1,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
4,1741124530555,04/03/2025 21:42,1741135330555,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون ,64315.100000000006,65123,65136.40000000149,64315.100000000006,65123,65136.40000000149,1,821.3000000014872,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
5,1741124530562,04/03/2025 21:42,1741135330562,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,19.60000000074797,16.60000000000582,19.60000000074797,19.60000000074797,16.60000000000582,19.60000000074797,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
6,1741124530576,04/03/2025 21:42,1741135330576,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,17.300000001487206,16.5,17.300000001487206,17.300000001487206,16.5,17.300000001487206,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
7,1741124532209,04/03/2025 21:42,1741135332209,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,1631.300000000003,1614.699999999997,1631.300000000003,1631.300000000003,1614.699999999997,1631.300000000003,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
8,1741124532211,04/03/2025 21:42,1741135332211,3.5,05/03/2025 03:42,216012,2,task-i1kz,,44062492,BLINDED,12839366,,complete,,,mobile,undefined K,Android 12,Chrome 133.0.6943.121,393x873,393x736,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,,,,,,,info,END,,,66497,,,,,,,,,,,,,,
1,1744037472877,07/04/2025 14:51,1744048272877,3.5,07/04/2025 20:51,216012,3,task-i1kz,,45170795,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1744037499642,07/04/2025 14:51,1744048299642,3.5,07/04/2025 20:51,216012,3,task-i1kz,,45170795,BLINDED,13133104,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,26788.300000047682,26776.300000000003,26788.300000047682,26788.300000047682,26776.300000000003,26788.300000047682,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
