Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1738114581736,29/01/2025 01:36,1738096581736,-5,28/01/2025 15:36,206283,3,questionnaire-8lsd,,42821484,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738362104098,31/01/2025 22:21,1738333304098,-8,31/01/2025 06:21,206283,3,questionnaire-8lsd,,42931677,BLINDED,12513042,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1728x1117,770x934,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738324660074,31/01/2025 11:57,1738335460074,3.5,31/01/2025 17:57,206283,3,questionnaire-8lsd,,42931794,BLINDED,12513067,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1440x900,1432x774,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738339042400,31/01/2025 15:57,1738339042400,0,31/01/2025 15:57,206283,3,questionnaire-8lsd,,42941016,BLINDED,12516010,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x953,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738381516487,01/02/2025 03:45,1738392316487,3.5,01/02/2025 09:45,206283,3,questionnaire-8lsd,,42954793,BLINDED,12519134,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1549x872,1550x703,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738601497906,03/02/2025 16:51,1738612297906,3.5,03/02/2025 22:51,206283,3,questionnaire-8lsd,,43013050,BLINDED,12536781,,live,,,mobile,undefined K,Android 10,Chrome 131.0.0.0,384x832,384x701,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738424801357,01/02/2025 15:46,1738435601357,3.5,01/02/2025 21:46,206283,3,questionnaire-8lsd,,42962979,BLINDED,12523631,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x738,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738329004797,31/01/2025 13:10,1738339804797,3.5,31/01/2025 19:10,206283,3,questionnaire-8lsd,,42934238,BLINDED,12513903,,live,,,mobile,Apple iPhone,iOS 15.4,Chrome 120.0.6099.119,375x667,375x553,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738325900691,31/01/2025 12:18,1738336700691,3.5,31/01/2025 18:18,206283,3,questionnaire-8lsd,,42932441,BLINDED,12513262,,complete,,,mobile,undefined K,Android 10,Chrome 131.0.6778.260,360x780,360x662,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738246099087,30/01/2025 14:08,1738249699087,1,30/01/2025 16:08,206283,3,questionnaire-8lsd,,42896933,BLINDED,12504604,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x617,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738132744624,29/01/2025 06:39,1738114744624,-5,28/01/2025 20:39,206283,3,questionnaire-8lsd,,42822794,BLINDED,12488554,,complete,,,mobile,undefined K,Android 14,Chrome 131.0.6778.262,412x892,412x757,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1738132721027,29/01/2025 06:38,1738114721027,-5,28/01/2025 20:38,206283,3,questionnaire-8lsd,,42822791,BLINDED,12488552,,rejected - manual,,,mobile,undefined K,Android 14,Chrome 131.0.6778.262,412x892,412x757,,,0,Consent form Heydari,2,consent,موافقم.,1
1,1741802965772,12/03/2025 18:09,1741777765772,-7,12/03/2025 04:09,206283,4,questionnaire-8lsd,,44345396,BLINDED,12923740,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1440x900,1440x778,,,0,Consent form Heydari,2,consent,موافقم.,1
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
