Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1738115097685,29/01/2025 01:44,1738097097685,-5,28/01/2025 15:44,206283,3,questionnaire-y8yi,,42821523,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738363076414,31/01/2025 22:37,1738334276414,-8,31/01/2025 06:37,206283,3,questionnaire-y8yi,,42932201,BLINDED,12513042,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1728x1117,1019x934,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738325869227,31/01/2025 12:17,1738336669227,3.5,31/01/2025 18:17,206283,3,questionnaire-y8yi,,42932431,BLINDED,12513067,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1440x900,1432x774,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738340522220,31/01/2025 16:22,1738340522220,0,31/01/2025 16:22,206283,3,questionnaire-y8yi,,42941822,BLINDED,12516010,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x953,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۹,10
1,1738382121873,01/02/2025 03:55,1738392921873,3.5,01/02/2025 09:55,206283,3,questionnaire-y8yi,,42954836,BLINDED,12519134,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1549x872,1550x703,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738326745962,31/01/2025 12:32,1738337545962,3.5,31/01/2025 18:32,206283,3,questionnaire-y8yi,,42932922,BLINDED,12513262,,complete,,,mobile,undefined K,Android 10,Chrome 131.0.6778.260,360x780,360x662,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738246633932,30/01/2025 14:17,1738250233932,1,30/01/2025 16:17,206283,3,questionnaire-y8yi,,42897734,BLINDED,12504604,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x617,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1738133093194,29/01/2025 06:44,1738115093194,-5,28/01/2025 20:44,206283,3,questionnaire-y8yi,,42822835,BLINDED,12488554,,complete,,,mobile,undefined K,Android 14,Chrome 131.0.6778.262,412x892,412x757,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741803410050,12/03/2025 18:16,1741778210050,-7,12/03/2025 04:16,206283,4,questionnaire-y8yi,,44345704,BLINDED,12923740,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1440x900,1440x778,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
