Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1738115115491,29/01/2025 01:45,1738097115491,-5,28/01/2025 15:45,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1738115150019,29/01/2025 01:45,1738097150019,-5,28/01/2025 15:45,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,34522,34506,34522,34522,34506,34522,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
3,1738115150027,29/01/2025 01:45,1738097150027,-5,28/01/2025 15:45,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۱۰ ژتون ؛ دریافت کننده= هیچ (۰) ژتون ,24771,34506,34522,24771,34506,34522,0,9751,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,پیشنهاد دهنده= ۱۰ ژتون ؛ دریافت کننده= هیچ (۰) ژتون ,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
4,1738115150028,29/01/2025 01:45,1738097150028,-5,28/01/2025 15:45,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون ,34056,34506,34522,34056,34506,34522,1,466,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,پیشنهاد دهنده= ۱۰ ژتون ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
5,1738115150035,29/01/2025 01:45,1738097150035,-5,28/01/2025 15:45,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,43,43,43,43,43,43,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= ۱۰ ژتون ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
6,1738115168044,29/01/2025 01:46,1738097168044,-5,28/01/2025 15:46,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat1,17c7me,3,continue,,17995,17978,17995,17995,17978,17995,0,0,0,,Click To Continue,Continue Button,3,object-140,Comprehension,پیشنهاد دهنده= ۱۰ ژتون ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
7,1738115168051,29/01/2025 01:46,1738097168051,-5,28/01/2025 15:46,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat1,17c7me,3,response,پیشنهاد دهنده= ۴ ژتون  ؛ دریافت کننده= هیچ (۰) ژتون  ,17261,17978,17995,17261,17978,17995,0,734,0,question1,Multiple choice,Multiple choice,2,object-17,Comprehension,پیشنهاد دهنده= ۴ ژتون  ؛ دریافت کننده= هیچ (۰) ژتون  ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
8,1738115168057,29/01/2025 01:46,1738097168057,-5,28/01/2025 15:46,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,4,timedOut,,43,43,43,43,43,43,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= ۴ ژتون  ؛ دریافت کننده= هیچ (۰) ژتون  ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
9,1738115172562,29/01/2025 01:46,1738097172562,-5,28/01/2025 15:46,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Wrong, Continue",aui16l,5,continue,,4491,4474,4491,4491,4474,4491,1,0,0,,Click To Continue,Continue Button,2,object-47,Comprehension,پیشنهاد دهنده= ۴ ژتون  ؛ دریافت کننده= هیچ (۰) ژتون  ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
10,1738115172564,29/01/2025 01:46,1738097172564,-5,28/01/2025 15:46,206283,3,task-i1kz,,42821524,BLINDED,12488188,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Ultimatum Game Comprehension,4,consent,Spreadsheet1,,,,,,,info,END,,,57043,,,,,,,,,,,,,,
