Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1747074726091,12/05/2025 18:32,1747085526091,3.5,13/05/2025 00:32,225484,3,questionnaire-273y,,46102152,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747075278408,12/05/2025 18:41,1747086078408,3.5,13/05/2025 00:41,225484,3,questionnaire-273y,,46102366,BLINDED,13404869,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747071427345,12/05/2025 17:37,1747082227345,3.5,12/05/2025 23:37,225484,3,questionnaire-273y,,46102297,BLINDED,13404846,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,360x720,360x592,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747075939582,12/05/2025 18:52,1747086739582,3.5,13/05/2025 00:52,225484,3,questionnaire-273y,,46102635,BLINDED,13404959,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747076014031,12/05/2025 18:53,1747086814031,3.5,13/05/2025 00:53,225484,3,questionnaire-273y,,46102661,BLINDED,13404966,,live,,,mobile,undefined K,Android 12,Chrome 135.0.7049.111,412x915,411x776,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747078647044,12/05/2025 19:37,1747089447044,3.5,13/05/2025 01:37,225484,3,questionnaire-273y,,46103699,BLINDED,13405287,,live,,,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,428x926,428x730,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747121124169,13/05/2025 07:25,1747131924169,3.5,13/05/2025 13:25,225484,3,questionnaire-273y,,46111696,BLINDED,13407512,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.111,412x915,411x781,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747132860722,13/05/2025 10:41,1747143660722,3.5,13/05/2025 16:41,225484,3,questionnaire-273y,,46123732,BLINDED,13409754,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 138.0,1920x1080,1920x955,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747145635556,13/05/2025 14:13,1747156435556,3.5,13/05/2025 20:13,225484,3,questionnaire-273y,,46133172,BLINDED,13412130,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.113,385x854,384x725,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747165069732,13/05/2025 19:37,1747175869732,3.5,14/05/2025 01:37,225484,3,questionnaire-273y,,46151806,BLINDED,13415513,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747167493770,13/05/2025 20:18,1747178293770,3.5,14/05/2025 02:18,225484,3,questionnaire-273y,,46152939,BLINDED,13415711,,live,,,mobile,undefined K,Android 12,Chrome 135.0.7049.113,393x873,392x779,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747199768230,14/05/2025 05:16,1747214168230,4.5,14/05/2025 13:16,225484,3,questionnaire-273y,,46156854,BLINDED,13416793,,complete,,,mobile,Samsung SM-A325F,Android 13,Chrome 104.0.0.0,412x915,412x780,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747233321418,14/05/2025 14:35,1747244121418,3.5,14/05/2025 20:35,225484,3,questionnaire-273y,,46178605,BLINDED,13421902,,complete,,,mobile,Samsung SM-A507FN,Android 11,Android Browser 4.0,412x892,411x764,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747254566551,14/05/2025 20:29,1747265366551,3.5,15/05/2025 02:29,225484,3,questionnaire-273y,,46192034,BLINDED,13424755,,live,,,mobile,undefined K,Android 11,Chrome 135.0.7049.111,412x869,411x734,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747284083745,15/05/2025 04:41,1747294883745,3.5,15/05/2025 10:41,225484,3,questionnaire-273y,,46195773,BLINDED,13425794,,complete,,,mobile,undefined K,Android 10,Samsung Internet 24.0,412x915,412x784,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747291839113,15/05/2025 06:50,1747302639113,3.5,15/05/2025 12:50,225484,3,questionnaire-273y,,46196568,BLINDED,13425994,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747302342850,15/05/2025 09:45,1747313142850,3.5,15/05/2025 15:45,225484,3,questionnaire-273y,,46206775,BLINDED,13427707,,live,,,mobile,undefined K,Android 10,MIUI Browser 14.18.1,393x851,393x663,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747334114231,15/05/2025 18:35,1747344914231,3.5,16/05/2025 00:35,225484,3,questionnaire-273y,,46226166,BLINDED,13431553,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.113,412x892,411x756,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747344181485,15/05/2025 21:23,1747354981485,3.5,16/05/2025 03:23,225484,3,questionnaire-273y,,46230590,BLINDED,13432993,,complete,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,393x873,392x736,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747373856020,16/05/2025 05:37,1747384656020,3.5,16/05/2025 11:37,225484,3,questionnaire-273y,,46234403,BLINDED,13435856,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x883,411x750,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747375184982,16/05/2025 05:59,1747385984982,3.5,16/05/2025 11:59,225484,3,questionnaire-273y,,46234510,BLINDED,13435926,,complete,,,mobile,Apple iPhone,iOS 18.1,Mobile Safari 18.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747384204711,16/05/2025 08:30,1747395004711,3.5,16/05/2025 14:30,225484,3,questionnaire-273y,,46236895,BLINDED,13436717,,complete,,,mobile,undefined K,Android 10,Chrome 111.0.0.0,412x915,412x777,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
