Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1747075571050,12/05/2025 18:46,1747086371050,3.5,13/05/2025 00:46,225484,3,questionnaire-y8yi,,46102480,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747075745249,12/05/2025 18:49,1747086545249,3.5,13/05/2025 00:49,225484,3,questionnaire-y8yi,,46102553,BLINDED,13404869,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747072221788,12/05/2025 17:50,1747083021788,3.5,12/05/2025 23:50,225484,3,questionnaire-y8yi,,46102611,BLINDED,13404846,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,360x720,360x592,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747076559144,12/05/2025 19:02,1747087359144,3.5,13/05/2025 01:02,225484,3,questionnaire-y8yi,,46102880,BLINDED,13404959,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747076319241,12/05/2025 18:58,1747087119241,3.5,13/05/2025 00:58,225484,3,questionnaire-y8yi,,46102790,BLINDED,13404966,,live,,,mobile,undefined K,Android 12,Chrome 135.0.7049.111,412x915,411x776,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1747122504910,13/05/2025 07:48,1747133304910,3.5,13/05/2025 13:48,225484,3,questionnaire-y8yi,,46112399,BLINDED,13407512,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.111,412x915,411x781,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747133373927,13/05/2025 10:49,1747144173927,3.5,13/05/2025 16:49,225484,3,questionnaire-y8yi,,46124095,BLINDED,13409754,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 138.0,1920x1080,1920x955,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۱۰,11
1,1747148552759,13/05/2025 15:02,1747159352759,3.5,13/05/2025 21:02,225484,3,questionnaire-y8yi,,46136219,BLINDED,13412130,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.113,385x854,384x725,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747165765346,13/05/2025 19:49,1747176565346,3.5,14/05/2025 01:49,225484,3,questionnaire-y8yi,,46152227,BLINDED,13415513,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747200324365,14/05/2025 05:25,1747214724365,4.5,14/05/2025 13:25,225484,3,questionnaire-y8yi,,46156910,BLINDED,13416793,,complete,,,mobile,Samsung SM-A325F,Android 13,Chrome 104.0.0.0,412x915,412x780,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
