Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1747075426936,12/05/2025 18:43,1747086226936,3.5,13/05/2025 00:43,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747075470766,12/05/2025 18:44,1747086270766,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,48274.399999999994,48266.1,48274.399999999994,48274.399999999994,48266.1,48274.399999999994,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1747075470772,12/05/2025 18:44,1747086270772,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,18799.1,48266.1,48274.399999999994,18799.1,48266.1,48274.399999999994,0,29475.299999999996,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,
4,1747075470773,12/05/2025 18:44,1747086270773,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون,47832.7,48266.1,48274.399999999994,47832.7,48266.1,48274.399999999994,0,441.6999999999971,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون
5,1747075470779,12/05/2025 18:44,1747086270779,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,16.80000000000291,8.400000000001455,16.80000000000291,16.80000000000291,8.400000000001455,16.80000000000291,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون
6,1747075492065,12/05/2025 18:44,1747086292065,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat1,17c7me,3,continue,,21298.79999999999,21282.199999999997,21298.79999999999,21298.79999999999,21282.199999999997,21298.79999999999,0,0,0,,Click To Continue,Continue Button,3,object-140,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون
7,1747075492077,12/05/2025 18:44,1747086292077,3.5,13/05/2025 00:44,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat1,17c7me,3,response,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,20774.300000000003,21282.199999999997,21298.79999999999,20774.300000000003,21282.199999999997,21298.79999999999,0,524.4999999999854,0,question1,Multiple choice,Multiple choice,2,object-17,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون
8,1747075502880,12/05/2025 18:45,1747086302880,3.5,13/05/2025 00:45,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat2,e1vfep,4,continue,,10838.200000000375,10825.100000000006,10838.200000000375,10838.200000000375,10825.100000000006,10838.200000000375,0,0,0,,Click To Continue,Continue Button,3,object-29,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۱۰ ژتون؛ گیرنده= ۶ ژتون
9,1747075502888,12/05/2025 18:45,1747086302888,3.5,13/05/2025 00:45,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Repeat2,e1vfep,4,response,دهنده= هیچ (۰) ژتون ؛ گیرنده= ۶ ژتون,10233.199999999997,10825.100000000006,10842.600000000006,10233.199999999997,10825.100000000006,10842.600000000006,0,609.4000000000087,0,question2,Multiple choice,Multiple choice,2,object-27,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= هیچ (۰) ژتون ؛ گیرنده= ۶ ژتون
10,1747075502903,12/05/2025 18:45,1747086302903,3.5,13/05/2025 00:45,225484,3,task-aguj,,46102417,BLINDED,13404807,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.113,384x832,384x695,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,5,timedOut,,36.19999999999709,32.39999999999418,36.19999999999709,36.19999999999709,32.39999999999418,36.19999999999709,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= هیچ (۰) ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= هیچ (۰) ژتون ؛ گیرنده= ۶ ژتون
