Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1741107642006,04/03/2025 17:00,1741118442006,3.5,04/03/2025 23:00,215994,3,questionnaire-jdx2,,44053446,BLINDED,12836861,,live,,,mobile,undefined K,Android 12,Chrome 133.0.6943.137,393x873,393x737,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741109649844,04/03/2025 17:34,1741120449844,3.5,04/03/2025 23:34,215994,3,questionnaire-jdx2,,44054962,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741111183457,04/03/2025 17:59,1741121983457,3.5,04/03/2025 23:59,215994,3,questionnaire-jdx2,,44055944,BLINDED,12837649,,live,,,mobile,undefined K,Android 14,Chrome 133.0.6943.137,393x873,393x738,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741129608084,04/03/2025 23:06,1741140408084,3.5,05/03/2025 05:06,215994,3,questionnaire-jdx2,,44064710,BLINDED,12840219,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741155587332,05/03/2025 06:19,1741166387332,3.5,05/03/2025 12:19,215994,3,questionnaire-jdx2,,44071720,BLINDED,12841867,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 135.0,1920x1080,1920x927,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741184534852,05/03/2025 14:22,1741195334852,3.5,05/03/2025 20:22,215994,3,questionnaire-jdx2,,44088114,BLINDED,12846436,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x911,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741261465945,06/03/2025 11:44,1741272265945,3.5,06/03/2025 17:44,215994,3,questionnaire-jdx2,,44124550,BLINDED,12857132,,complete,,,mobile,undefined K,Android 13,Chrome 133.0.6943.137,412x915,412x805,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741633212774,10/03/2025 19:00,1741644012774,3.5,11/03/2025 01:00,215994,4,questionnaire-jdx2,,44262868,BLINDED,12897509,,live,,,mobile,undefined K,Android 11,Chrome 133.0.6943.137,412x892,412x758,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741634264453,10/03/2025 19:17,1741645064453,3.5,11/03/2025 01:17,215994,4,questionnaire-jdx2,,44263584,BLINDED,12897713,,live,,,mobile,undefined K,Android 10,Chrome 133.0.0.0,384x857,384x729,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741795318746,12/03/2025 16:01,1741806118746,3.5,12/03/2025 22:01,215994,4,questionnaire-jdx2,,44340016,BLINDED,12922132,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 135.0,1920x1200,1850x1089,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741795132747,12/03/2025 15:58,1741805932747,3.5,12/03/2025 21:58,215994,4,questionnaire-jdx2,,44339845,BLINDED,12922088,,complete,,,mobile,undefined K,Android 13,Chrome 133.0.6943.138,412x915,412x780,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741887910069,13/03/2025 17:45,1741898710069,3.5,13/03/2025 23:45,215994,4,questionnaire-jdx2,,44383156,BLINDED,12934219,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,384x661,384x661,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1741951728953,14/03/2025 11:28,1741962528953,3.5,14/03/2025 17:28,215994,4,questionnaire-jdx2,,44402362,BLINDED,12940220,,complete,,,mobile,undefined K,Android 11,Chrome 133.0.6943.137,412x892,412x788,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742244383554,17/03/2025 20:46,1742255183554,3.5,18/03/2025 02:46,215994,4,questionnaire-jdx2,,44484707,BLINDED,12962719,,complete,,,mobile,undefined K,Android 9,Chrome 129.0.6668.102,360x720,360x598,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742392163034,19/03/2025 13:49,1742402963034,3.5,19/03/2025 19:49,215994,4,questionnaire-jdx2,,44539678,BLINDED,12979706,,complete,,,mobile,undefined K,Android 11,Chrome 133.0.6943.138,393x873,393x733,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742533382853,21/03/2025 05:03,1742508182853,-7,20/03/2025 15:03,215994,4,questionnaire-jdx2,,44578323,BLINDED,12991643,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1440x900,1324x694,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742510101413,20/03/2025 22:35,1742520901413,3.5,21/03/2025 04:35,215994,4,questionnaire-jdx2,,44588116,BLINDED,12994444,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,393x852,393x659,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742719816976,23/03/2025 08:50,1742730616976,3.5,23/03/2025 14:50,215994,4,questionnaire-jdx2,,44631842,BLINDED,13009274,,live,,,mobile,undefined K,Android 11,Chrome 134.0.6998.108,360x780,360x649,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742721570597,23/03/2025 09:19,1742732370597,3.5,23/03/2025 15:19,215994,4,questionnaire-jdx2,,44632013,BLINDED,13009335,,live,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,360x780,360x649,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742749728609,23/03/2025 17:08,1742724528609,-7,23/03/2025 03:08,215994,4,questionnaire-jdx2,,44637867,BLINDED,13011310,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1366x768,1358x650,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742752397440,23/03/2025 17:53,1742763197440,3.5,23/03/2025 23:53,215994,4,questionnaire-jdx2,,44638598,BLINDED,13011519,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.108,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
