Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1741110435592,04/03/2025 17:47,1741121235592,3.5,04/03/2025 23:47,215994,3,questionnaire-y8yi,,44055478,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741156209342,05/03/2025 06:30,1741167009342,3.5,05/03/2025 12:30,215994,3,questionnaire-y8yi,,44071851,BLINDED,12841867,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 135.0,1920x1080,1920x927,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741185086344,05/03/2025 14:31,1741195886344,3.5,05/03/2025 20:31,215994,3,questionnaire-y8yi,,44088551,BLINDED,12846436,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x911,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741262426853,06/03/2025 12:00,1741273226853,3.5,06/03/2025 18:00,215994,3,questionnaire-y8yi,,44125121,BLINDED,12857132,,complete,,,mobile,undefined K,Android 13,Chrome 133.0.6943.137,412x915,412x805,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1741634204742,10/03/2025 19:16,1741645004742,3.5,11/03/2025 01:16,215994,4,questionnaire-y8yi,,44263553,BLINDED,12897509,,live,,,mobile,undefined K,Android 11,Chrome 133.0.6943.137,412x892,412x758,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741796029942,12/03/2025 16:13,1741806829942,3.5,12/03/2025 22:13,215994,4,questionnaire-y8yi,,44340704,BLINDED,12922132,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 135.0,1920x1200,1850x1089,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741800211791,12/03/2025 17:23,1741811011791,3.5,12/03/2025 23:23,215994,4,questionnaire-y8yi,,44343718,BLINDED,12922088,,complete,,,mobile,undefined K,Android 13,Chrome 133.0.6943.138,412x915,412x780,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741888919061,13/03/2025 18:01,1741899719061,3.5,14/03/2025 00:01,215994,4,questionnaire-y8yi,,44383659,BLINDED,12934219,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,384x661,384x661,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1741952393434,14/03/2025 11:39,1741963193434,3.5,14/03/2025 17:39,215994,4,questionnaire-y8yi,,44402848,BLINDED,12940220,,complete,,,mobile,undefined K,Android 11,Chrome 133.0.6943.137,412x892,412x788,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742244965073,17/03/2025 20:56,1742255765073,3.5,18/03/2025 02:56,215994,4,questionnaire-y8yi,,44484904,BLINDED,12962719,,complete,,,mobile,undefined K,Android 9,Chrome 129.0.6668.102,360x720,360x598,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742393048018,19/03/2025 14:04,1742403848018,3.5,19/03/2025 20:04,215994,4,questionnaire-y8yi,,44540582,BLINDED,12979706,,complete,,,mobile,undefined K,Android 11,Chrome 133.0.6943.138,393x873,393x733,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۰,1
1,1742534592164,21/03/2025 05:23,1742509392164,-7,20/03/2025 15:23,215994,4,questionnaire-y8yi,,44579479,BLINDED,12991643,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,1440x900,1440x820,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742510809138,20/03/2025 22:46,1742521609138,3.5,21/03/2025 04:46,215994,4,questionnaire-y8yi,,44588286,BLINDED,12994444,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,393x852,393x659,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1742720697405,23/03/2025 09:04,1742731497405,3.5,23/03/2025 15:04,215994,4,questionnaire-y8yi,,44631890,BLINDED,13009274,,live,,,mobile,undefined K,Android 11,Chrome 134.0.6998.108,360x780,360x649,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742750392474,23/03/2025 17:19,1742725192474,-7,23/03/2025 03:19,215994,4,questionnaire-y8yi,,44638059,BLINDED,13011310,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1366x768,1358x650,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742753250993,23/03/2025 18:07,1742764050993,3.5,24/03/2025 00:07,215994,4,questionnaire-y8yi,,44638786,BLINDED,13011519,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.108,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742754422510,23/03/2025 18:27,1742765222510,3.5,24/03/2025 00:27,215994,4,questionnaire-y8yi,,44639177,BLINDED,13011647,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,,
1,1742818917101,24/03/2025 12:21,1742829717101,3.5,24/03/2025 18:21,215994,4,questionnaire-y8yi,,44655335,BLINDED,13016232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x651,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1742867717757,25/03/2025 01:55,1742878517757,3.5,25/03/2025 07:55,215994,4,questionnaire-y8yi,,44679957,BLINDED,13023665,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,384x854,384x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1742991765866,26/03/2025 12:22,1743002565866,3.5,26/03/2025 18:22,215994,4,questionnaire-y8yi,,44732651,BLINDED,13037688,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,385x854,384x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743000167798,26/03/2025 14:42,1743014567798,4,26/03/2025 22:42,215994,4,questionnaire-y8yi,,44738396,BLINDED,13039060,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,385x833,384x700,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743085279731,27/03/2025 14:21,1743096079731,3.5,27/03/2025 20:21,215994,4,questionnaire-y8yi,,44775251,BLINDED,13048884,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
