Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1741110371189,04/03/2025 17:46,1741121171189,3.5,04/03/2025 23:46,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1741110422418,04/03/2025 17:47,1741121222418,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,51237.6,51221,51237.6,51237.6,51221,51237.6,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1741110422429,04/03/2025 17:47,1741121222429,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,42765.5,51221,51237.6,42765.5,51221,51237.6,1,8472.099999999999,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
4,1741110422430,04/03/2025 17:47,1741121222430,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون,50706.2,51221,51237.6,50706.2,51221,51237.6,1,531.4000000000015,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
5,1741110422442,04/03/2025 17:47,1741121222442,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,33.40000000000873,16.700000000004366,33.40000000000873,33.40000000000873,16.700000000004366,33.40000000000873,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
6,1741110422447,04/03/2025 17:47,1741121222447,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,44.599999999998545,33.299999999995634,44.599999999998545,44.599999999998545,33.299999999995634,44.599999999998545,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
7,1741110424994,04/03/2025 17:47,1741121224994,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,2551.5,2534.9000000000015,2551.5,2551.5,2534.9000000000015,2551.5,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
8,1741110424997,04/03/2025 17:47,1741121224997,3.5,04/03/2025 23:47,215994,3,task-aguj,,44055434,BLINDED,12837307,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x693,412x693,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,,,,,,,info,END,,,53681,,,,,,,,,,,,,,
1,1741156169733,05/03/2025 06:29,1741166969733,3.5,05/03/2025 12:29,215994,3,task-aguj,,44071843,BLINDED,12841867,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 135.0,1920x1080,1920x927,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1741156198902,05/03/2025 06:29,1741166998902,3.5,05/03/2025 12:29,215994,3,task-aguj,,44071843,BLINDED,12841867,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 135.0,1920x1080,1920x927,,,0,Dictator Game Comprehension,10,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,29180.2,29166.52,29180.2,29180.2,29166.52,29180.2,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
