Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1747339620597,15/05/2025 20:07,1747350420597,3.5,16/05/2025 02:07,225485,4,questionnaire-ri58,,46229570,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747485967584,17/05/2025 12:46,1747496767584,3.5,17/05/2025 18:46,225485,4,questionnaire-ri58,,46275411,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747684625467,19/05/2025 19:57,1747695425467,3.5,20/05/2025 01:57,225485,4,questionnaire-ri58,,46317994,BLINDED,13458736,,live,,,mobile,Samsung SM-A526B,Android 12,Instagram 379.1.0.43.80,412x915,411x784,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747683243901,19/05/2025 19:34,1747694043901,3.5,20/05/2025 01:34,225485,4,questionnaire-ri58,,46317486,BLINDED,13458610,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Instagram 379.0.0.26.81,390x844,390x777,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685030490,19/05/2025 20:03,1747695830490,3.5,20/05/2025 02:03,225485,4,questionnaire-ri58,,46318121,BLINDED,13458769,,live,,,mobile,Apple iPhone,iOS 18.4,Instagram 379.0.0.26.81,428x926,428x744,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685038804,19/05/2025 20:03,1747695838804,3.5,20/05/2025 02:03,225485,4,questionnaire-ri58,,46318122,BLINDED,13458770,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Instagram 380.0.0.30.73,390x844,390x662,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747683455149,19/05/2025 19:37,1747694255149,3.5,20/05/2025 01:37,225485,4,questionnaire-ri58,,46317570,BLINDED,13458620,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Instagram 380.0.0.30.73,390x844,390x777,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747684183581,19/05/2025 19:49,1747694983581,3.5,20/05/2025 01:49,225485,4,questionnaire-ri58,,46317796,BLINDED,13458682,,complete,,,mobile,Samsung SM-A556E,Android 14,Instagram 379.1.0.43.80,384x832,384x737,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685408153,19/05/2025 20:10,1747696208153,3.5,20/05/2025 02:10,225485,4,questionnaire-ri58,,46318274,BLINDED,13458818,,live,,,mobile,undefined K,Android 13,Chrome 136.0.7103.60,393x873,392x735,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685445187,19/05/2025 20:10,1747696245187,3.5,20/05/2025 02:10,225485,4,questionnaire-ri58,,46318290,BLINDED,13458822,,live,,,mobile,Xiaomi Redmi Note 9 Pro,Android 10,Instagram 374.0.0.43.67,393x873,392x740,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685624794,19/05/2025 20:13,1747696424794,3.5,20/05/2025 02:13,225485,4,questionnaire-ri58,,46318344,BLINDED,13458832,,complete,,,mobile,Samsung SM-G991B,Android 14,Instagram 379.1.0.43.80,360x800,360x678,,,0,Consent form Vazirian,3,consent,موافقم.,1
