Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1747340326751,15/05/2025 20:18,1747351126751,3.5,16/05/2025 02:18,225485,4,questionnaire-y8yi,,46229741,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1747486546983,17/05/2025 12:55,1747497346983,3.5,17/05/2025 18:55,225485,4,questionnaire-y8yi,,46275483,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747684071729,19/05/2025 19:47,1747694871729,3.5,20/05/2025 01:47,225485,4,questionnaire-y8yi,,46317764,BLINDED,13458610,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Instagram 379.0.0.26.81,390x844,390x777,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747685962557,19/05/2025 20:19,1747696762557,3.5,20/05/2025 02:19,225485,4,questionnaire-y8yi,,46318444,BLINDED,13458770,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Instagram 380.0.0.30.73,390x844,390x687,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747684323787,19/05/2025 19:52,1747695123787,3.5,20/05/2025 01:52,225485,4,questionnaire-y8yi,,46317875,BLINDED,13458620,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Instagram 380.0.0.30.73,390x844,390x777,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747685197055,19/05/2025 20:06,1747695997055,3.5,20/05/2025 02:06,225485,4,questionnaire-y8yi,,46318197,BLINDED,13458682,,complete,,,mobile,Samsung SM-A556E,Android 14,Instagram 379.1.0.43.80,384x832,384x737,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747686392551,19/05/2025 20:26,1747697192551,3.5,20/05/2025 02:26,225485,4,questionnaire-y8yi,,46318551,BLINDED,13458832,,complete,,,mobile,Samsung SM-G991B,Android 14,Instagram 379.1.0.43.80,360x800,360x678,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1747685621428,19/05/2025 20:13,1747696421428,3.5,20/05/2025 02:13,225485,4,questionnaire-y8yi,,46318350,BLINDED,13458646,,complete,,,mobile,Samsung SM-G990E,Android 14,Instagram 377.1.0.48.63,360x780,360x651,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747686613197,19/05/2025 20:30,1747697413197,3.5,20/05/2025 02:30,225485,4,questionnaire-y8yi,,46318575,BLINDED,13458867,,complete,,,mobile,Samsung SM-A336E,Android 14,Instagram 361.0.0.46.88,384x854,384x729,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1747686770791,19/05/2025 20:32,1747693970791,2,20/05/2025 00:32,225485,4,questionnaire-y8yi,,46318671,BLINDED,13458862,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,384x854,384x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۰,1
1,1747686937372,19/05/2025 20:35,1747694137372,2,20/05/2025 00:35,225485,4,questionnaire-y8yi,,46318719,BLINDED,13458886,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747687063211,19/05/2025 20:37,1747697863211,3.5,20/05/2025 02:37,225485,4,questionnaire-y8yi,,46318753,BLINDED,13458896,,live,,,mobile,Samsung SM-A515F,Android 13,Instagram 379.1.0.43.80,412x915,411x784,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1747687972806,19/05/2025 20:52,1747698772806,3.5,20/05/2025 02:52,225485,4,questionnaire-y8yi,,46319035,BLINDED,13458963,,complete,,,mobile,Xiaomi 2107113SG,Android 14,Instagram 380.0.0.49.84,393x873,392x747,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747687457915,19/05/2025 20:44,1747698257915,3.5,20/05/2025 02:44,225485,4,questionnaire-y8yi,,46318884,BLINDED,13458904,,complete,,,mobile,Samsung SM-A315F,Android 12,Instagram 379.1.0.43.80,412x915,411x788,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747689239305,19/05/2025 21:13,1747700039305,3.5,20/05/2025 03:13,225485,4,questionnaire-y8yi,,46319318,BLINDED,13458980,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Instagram 377.0.0.29.79,414x896,414x828,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747693887955,19/05/2025 22:31,1747704687955,3.5,20/05/2025 04:31,225485,4,questionnaire-y8yi,,46321503,BLINDED,13459436,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 380.0.0.30.73,414x736,414x635,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747711835470,20/05/2025 03:30,1747722635470,3.5,20/05/2025 09:30,225485,4,questionnaire-y8yi,,46324446,BLINDED,13460156,,complete,,,mobile,Xiaomi Redmi Note 9S,Android 12,Instagram 379.1.0.43.80,393x873,392x740,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747718766038,20/05/2025 05:26,1747729566038,3.5,20/05/2025 11:26,225485,4,questionnaire-y8yi,,46324891,BLINDED,13460282,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,384x832,384x699,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747719296608,20/05/2025 05:34,1747730096608,3.5,20/05/2025 11:34,225485,4,questionnaire-y8yi,,46324973,BLINDED,13460295,,complete,,,mobile,Xiaomi 23053RN02Y,Android 13,Instagram 380.0.0.49.84,393x895,392x761,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747723630301,20/05/2025 06:47,1747734430301,3.5,20/05/2025 12:47,225485,4,questionnaire-y8yi,,46325474,BLINDED,13460515,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,384x824,384x692,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747723946066,20/05/2025 06:52,1747734746066,3.5,20/05/2025 12:52,225485,4,questionnaire-y8yi,,46325517,BLINDED,13460511,,complete,,,mobile,Samsung SM-S711B,Android 14,Instagram 377.1.0.48.63,384x832,384x707,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
