Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1747340283958,15/05/2025 20:18,1747351083958,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747340317742,15/05/2025 20:18,1747351117742,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,33798.3,33786.600000000006,33798.3,33798.3,33786.600000000006,33798.3,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1747340317747,15/05/2025 20:18,1747351117747,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,17285,33786.600000000006,33803.20000000001,17285,33786.600000000006,33803.20000000001,1,16518.20000000001,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
4,1747340317748,15/05/2025 20:18,1747351117748,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون,28452.8,33786.600000000006,33803.20000000001,28452.8,33786.600000000006,33803.20000000001,1,5350.400000000012,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
5,1747340317753,15/05/2025 20:18,1747351117753,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,24.999999952313374,16.5,24.999999952313374,24.999999952313374,16.5,24.999999952313374,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
6,1747340317762,15/05/2025 20:18,1747351117762,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,17.799999904629658,16.89999999999418,17.799999904629658,17.799999904629658,16.89999999999418,17.799999904629658,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
7,1747340319163,15/05/2025 20:18,1747351119163,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,1400.3000000000102,1383.6000000000058,1400.3000000000102,1400.3000000000102,1383.6000000000058,1400.3000000000102,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
8,1747340319165,15/05/2025 20:18,1747351119165,3.5,16/05/2025 02:18,225485,4,task-aguj,,46229732,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,END,,,35121,,,,,,,,,,,,,,
1,1747486494373,17/05/2025 12:54,1747497294373,3.5,17/05/2025 18:54,225485,4,task-aguj,,46275476,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747486535643,17/05/2025 12:55,1747497335643,3.5,17/05/2025 18:55,225485,4,task-aguj,,46275476,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,46434.300000071526,46421.9,46434.300000071526,46434.300000071526,46421.9,46434.300000071526,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
