Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1747340400483,15/05/2025 20:20,1747351200483,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747340421972,15/05/2025 20:20,1747351221972,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,25960.099999904633,25944.2,25960.099999904633,25960.099999904633,25944.2,25960.099999904633,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
3,1747340421975,15/05/2025 20:20,1747351221975,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,16393.4,25944.2,25960.800000000003,16393.4,25944.2,25960.800000000003,1,9567.400000000001,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
4,1747340421976,15/05/2025 20:20,1747351221976,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون ,25310.8,25944.2,25960.800000000003,25310.8,25944.2,25960.800000000003,1,650.0000000000036,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
5,1747340421981,15/05/2025 20:20,1747351221981,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,24.799999999999272,16.399999999997817,24.799999999999272,24.799999999999272,16.399999999997817,24.799999999999272,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
6,1747340421990,15/05/2025 20:20,1747351221990,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,17.900000000001455,16.80000000000291,17.900000000001455,17.900000000001455,16.80000000000291,17.900000000001455,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
7,1747340423410,15/05/2025 20:20,1747351223410,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,1421.8000000476823,1416.699999999997,1421.8000000476823,1421.8000000476823,1416.699999999997,1421.8000000476823,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
8,1747340423412,15/05/2025 20:20,1747351223412,3.5,16/05/2025 02:20,225485,4,task-i1kz,,46229784,BLINDED,13432449,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1280x800,1280x639,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,END,,,22900,,,,,,,,,,,,,,
1,1747486673788,17/05/2025 12:57,1747497473788,3.5,17/05/2025 18:57,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747486695538,17/05/2025 12:58,1747497495538,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,21768.999999976157,21760.800000000003,21768.999999976157,21768.999999976157,21760.800000000003,21768.999999976157,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
3,1747486695542,17/05/2025 12:58,1747497495542,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,7937.6,21760.800000000003,21769.100000000002,7937.6,21760.800000000003,21769.100000000002,1,13831.500000000002,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
4,1747486695543,17/05/2025 12:58,1747497495543,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون ,21344,21760.800000000003,21769.100000000002,21344,21760.800000000003,21769.100000000002,1,425.1000000000022,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
5,1747486695547,17/05/2025 12:58,1747497495547,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,16.400000000001455,8.200000000000728,16.400000000001455,16.400000000001455,8.200000000000728,16.400000000001455,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
6,1747486695550,17/05/2025 12:58,1747497495550,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,13.499999976156687,8.5,13.499999976156687,13.499999976156687,8.5,13.499999976156687,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
7,1747486696684,17/05/2025 12:58,1747497496684,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,1138.9999999761567,1133.5999999999985,1138.9999999761567,1138.9999999761567,1133.5999999999985,1138.9999999761567,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
8,1747486696687,17/05/2025 12:58,1747497496687,3.5,17/05/2025 18:58,225485,4,task-i1kz,,46275498,BLINDED,13447428,,live,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,376x835,375x697,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,END,,,22828,,,,,,,,,,,,,,
1,1747684151144,19/05/2025 19:49,1747694951144,3.5,20/05/2025 01:49,225485,4,task-i1kz,,46317788,BLINDED,13458610,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Instagram 379.0.0.26.81,390x844,390x777,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
