Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1747150763961,13/05/2025 15:39,1747161563961,3.5,13/05/2025 21:39,225473,4,questionnaire-r73s,,46138622,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747156471764,13/05/2025 17:14,1747167271764,3.5,13/05/2025 23:14,225473,4,questionnaire-r73s,,46144438,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747159299330,13/05/2025 18:01,1747170099330,3.5,14/05/2025 00:01,225473,4,questionnaire-r73s,,46146959,BLINDED,13414852,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,428x926,428x730,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747165466650,13/05/2025 19:44,1747176266650,3.5,14/05/2025 01:44,225473,4,questionnaire-r73s,,46152055,BLINDED,13415540,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,360x780,360x698,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747168672168,13/05/2025 20:37,1747179472168,3.5,14/05/2025 02:37,225473,4,questionnaire-r73s,,46153412,BLINDED,13415828,,live,,,mobile,undefined K,Android 12,Chrome 135.0.7049.111,412x915,411x771,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747279264149,15/05/2025 03:21,1747290064149,3.5,15/05/2025 09:21,225473,4,questionnaire-r73s,,46195475,BLINDED,13425716,,complete,,,mobile,undefined K,Android 12,Chrome 135.0.7049.111,412x915,411x771,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747384376612,16/05/2025 08:32,1747395176612,3.5,16/05/2025 14:32,225473,4,questionnaire-r73s,,46236959,BLINDED,13436732,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x740,412x740,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747384394481,16/05/2025 08:33,1747398794481,4.5,16/05/2025 16:33,225473,4,questionnaire-r73s,,46236972,BLINDED,13436735,,complete,,,mobile,Samsung SM-A217F,Android 11,Samsung Internet 13.2,412x915,412x732,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747635581822,19/05/2025 06:19,1747646381822,3.5,19/05/2025 12:19,225473,4,questionnaire-r73s,,46294246,BLINDED,13452228,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 138.0,1280x720,1280x595,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747677118868,19/05/2025 17:51,1747687918868,3.5,19/05/2025 23:51,225473,4,questionnaire-r73s,,46314479,BLINDED,13457911,,live,,,mobile,Apple iPhone,iOS 15.8.3,Mobile Safari 15.8.3,375x667,375x532,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747679684309,19/05/2025 18:34,1747690484309,3.5,20/05/2025 00:34,225473,4,questionnaire-r73s,,46315581,BLINDED,13458235,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,504x876,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747679109739,19/05/2025 18:25,1747689909739,3.5,20/05/2025 00:25,225473,4,questionnaire-r73s,,46315312,BLINDED,13458170,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,384x832,384x699,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747688160270,19/05/2025 20:56,1747698960270,3.5,20/05/2025 02:56,225473,4,questionnaire-r73s,,46319200,BLINDED,13459063,,live,,,mobile,undefined K,Android 14,Chrome 136.0.7103.61,384x832,384x696,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747685208331,19/05/2025 20:06,1747696008331,3.5,20/05/2025 02:06,225473,4,questionnaire-r73s,,46319232,BLINDED,13459068,,complete,,,mobile,undefined K,Android 11,Chrome 136.0.7103.60,393x851,392x718,,,0,Consent form Zakeri,3,consent,موافقم.,1
1,1747696502762,19/05/2025 23:15,1747707302762,3.5,20/05/2025 05:15,225473,4,questionnaire-r73s,,46321872,BLINDED,13459539,,complete,,,mobile,undefined K,Android 12,Chrome 136.0.7103.60,393x873,392x732,,,0,Consent form Zakeri,3,consent,موافقم.,1
