Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1747151275674,13/05/2025 15:47,1747162075674,3.5,13/05/2025 21:47,225473,4,questionnaire-y8yi,,46139083,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۰,1
1,1747157489310,13/05/2025 17:31,1747168289310,3.5,13/05/2025 23:31,225473,4,questionnaire-y8yi,,46145319,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1747160092618,13/05/2025 18:14,1747170892618,3.5,14/05/2025 00:14,225473,4,questionnaire-y8yi,,46147723,BLINDED,13414852,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747165962016,13/05/2025 19:52,1747176762016,3.5,14/05/2025 01:52,225473,4,questionnaire-y8yi,,46152324,BLINDED,13415540,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,360x780,360x698,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747279866408,15/05/2025 03:31,1747290666408,3.5,15/05/2025 09:31,225473,4,questionnaire-y8yi,,46195518,BLINDED,13425716,,complete,,,mobile,undefined K,Android 12,Chrome 135.0.7049.111,412x915,411x771,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747384790535,16/05/2025 08:39,1747395590535,3.5,16/05/2025 14:39,225473,4,questionnaire-y8yi,,46237125,BLINDED,13436732,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,412x740,412x740,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747385436580,16/05/2025 08:50,1747399836580,4.5,16/05/2025 16:50,225473,4,questionnaire-y8yi,,46237426,BLINDED,13436735,,complete,,,mobile,Samsung SM-A217F,Android 11,Samsung Internet 13.2,412x915,412x732,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1747636519211,19/05/2025 06:35,1747647319211,3.5,19/05/2025 12:35,225473,4,questionnaire-y8yi,,46294420,BLINDED,13452228,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 138.0,1280x720,1280x595,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1747680321253,19/05/2025 18:45,1747691121253,3.5,20/05/2025 00:45,225473,4,questionnaire-y8yi,,46316017,BLINDED,13458235,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,504x876,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۷ ,8
1,1747682640002,19/05/2025 19:24,1747693440002,3.5,20/05/2025 01:24,225473,4,questionnaire-y8yi,,46317251,BLINDED,13458170,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,384x832,384x699,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۶,7
