Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1747151243130,13/05/2025 15:47,1747162043130,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747151264134,13/05/2025 15:47,1747162064134,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,21032.6,21016.1,21032.6,21032.6,21016.1,21032.6,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1747151264140,13/05/2025 15:47,1747162064140,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,12216.500000000002,21016.1,21032.6,12216.500000000002,21016.1,21032.6,1,8816.099999999997,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
4,1747151264142,13/05/2025 15:47,1747162064142,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون,20133,21016.1,21032.6,20133,21016.1,21032.6,1,899.5999999999985,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
5,1747151264151,13/05/2025 15:47,1747162064151,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,33.19999999999709,16.599999999998545,33.19999999999709,33.19999999999709,16.599999999998545,33.19999999999709,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
6,1747151264155,13/05/2025 15:47,1747162064155,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,24.499999427796865,16.700000000000728,24.499999427796865,24.499999427796865,16.700000000000728,24.499999427796865,1,0,0,,Time Limit,screen,0,screen,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
7,1747151266597,13/05/2025 15:47,1747162066597,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,2450.2000000000007,2433.600000000002,2450.2000000000007,2450.2000000000007,2433.600000000002,2450.2000000000007,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
8,1747151266601,13/05/2025 15:47,1747162066601,3.5,13/05/2025 21:47,225473,4,task-aguj,,46139056,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,END,,,23343,,,,,,,,,,,,,,
1,1747157442897,13/05/2025 17:30,1747168242897,3.5,13/05/2025 23:30,225473,4,task-aguj,,46145286,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747157479613,13/05/2025 17:31,1747168279613,3.5,13/05/2025 23:31,225473,4,task-aguj,,46145286,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,42760.399999999994,42752.1,42760.399999999994,42760.399999999994,42752.1,42760.399999999994,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1747157479620,13/05/2025 17:31,1747168279620,3.5,13/05/2025 23:31,225473,4,task-aguj,,46145286,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Dictator Game Comprehension,11,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,22871.1,42752.1,42760.399999999994,22871.1,42752.1,42760.399999999994,1,19889.299999999996,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,
