Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1747151334906,13/05/2025 15:48,1747162134906,3.5,13/05/2025 21:48,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747151349815,13/05/2025 15:49,1747162149815,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,14934.899999809266,14933,14934.899999809266,14934.899999809266,14933,14934.899999809266,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
3,1747151349819,13/05/2025 15:49,1747162149819,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,7016.8,14933,14938.799999427796,7016.8,14933,14938.799999427796,1,7921.999999427796,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
4,1747151349820,13/05/2025 15:49,1747162149820,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون ,13949.8,14933,14940.000000190736,13949.8,14933,14940.000000190736,1,990.2000001907363,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
5,1747151349831,13/05/2025 15:49,1747162149831,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,18.099999618531,16.900000000001455,18.099999618531,18.099999618531,16.900000000001455,18.099999618531,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
6,1747151349847,13/05/2025 15:49,1747162149847,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,17.699999618529546,16.700000000000728,17.699999618529546,17.699999618529546,16.700000000000728,17.699999618529546,1,0,0,,Time Limit,screen,0,screen,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
7,1747151352348,13/05/2025 15:49,1747162152348,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,2502.2999998092637,2499.7999999999993,2502.2999998092637,2502.2999998092637,2499.7999999999993,2502.2999998092637,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,پیشنهاد دهنده= هیچ (۰) ژتون  ؛ دریافت کننده= هیچ (۰) ژتون ,پیشنهاد دهنده= ۴ ژتون ؛ دریافت کننده= ۶ ژتون 
8,1747151352350,13/05/2025 15:49,1747162152350,3.5,13/05/2025 21:49,225473,4,task-i1kz,,46139151,BLINDED,13413499,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1536x864,1536x738,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,END,,,17359,,,,,,,,,,,,,,
1,1747157586917,13/05/2025 17:33,1747168386917,3.5,13/05/2025 23:33,225473,4,task-i1kz,,46145383,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1747157647790,13/05/2025 17:34,1747168447790,3.5,13/05/2025 23:34,225473,4,task-i1kz,,46145383,BLINDED,13414410,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,407x904,406x766,,,0,Ultimatum Game Comprehension,7,consent,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,60879.200000035766,60871.100000000006,60879.200000035766,60879.200000035766,60871.100000000006,60879.200000035766,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,دهنده= ۱۰ ژتون ؛ گیرنده= هیچ (۰) ژتون,دهنده= ۴ ژتون؛ گیرنده= ۶ ژتون
