Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1744966333558,18/04/2025 08:52,1744977133558,3,18/04/2025 14:52,209889,4,questionnaire-22js,,45492648,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1744975267164,18/04/2025 11:21,1744986067164,3,18/04/2025 17:21,209889,4,questionnaire-22js,,45495718,BLINDED,13222064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x701,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745566273182,25/04/2025 07:31,1745577073182,3,25/04/2025 13:31,209889,4,questionnaire-22js,,45632352,BLINDED,13222098,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745240249040,21/04/2025 12:57,1745251049040,3,21/04/2025 18:57,209889,4,questionnaire-22js,,45537556,BLINDED,13235674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x656,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745244426773,21/04/2025 14:07,1745255226773,3,21/04/2025 20:07,209889,4,questionnaire-22js,,45538582,BLINDED,13235964,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745253175407,21/04/2025 16:32,1745242375407,-3,21/04/2025 10:32,209889,4,questionnaire-22js,,45540580,BLINDED,13236717,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x663,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745256277617,21/04/2025 17:24,1745267077617,3,21/04/2025 23:24,209889,4,questionnaire-22js,,45541335,BLINDED,13236900,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,393x873,392x770,,,0,Debrief Efremova,2,consent,N,,,,,info,,BEGIN,,,,,
1,1745257009114,21/04/2025 17:36,1745275009114,5,22/04/2025 03:36,209889,4,questionnaire-22js,,45541494,BLINDED,13236965,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Instagram 376.1.0.27.82,430x932,430x853,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745262822891,21/04/2025 19:13,1745273622891,3,22/04/2025 01:13,209889,4,questionnaire-22js,,45543356,BLINDED,13237557,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745305339899,22/04/2025 07:02,1745316139899,3,22/04/2025 13:02,209889,4,questionnaire-22js,,45549763,BLINDED,13241787,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745311371501,22/04/2025 08:42,1745322171501,3,22/04/2025 14:42,209889,4,questionnaire-22js,,45550831,BLINDED,13244244,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,834x1194,1194x727,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745315826662,22/04/2025 09:57,1745326626662,3,22/04/2025 15:57,209889,4,questionnaire-22js,,45552175,BLINDED,13245415,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745314538598,22/04/2025 09:35,1745325338598,3,22/04/2025 15:35,209889,4,questionnaire-22js,,45551778,BLINDED,13245547,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,402x678,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745339843864,22/04/2025 16:37,1745350643864,3,22/04/2025 22:37,209889,4,questionnaire-22js,,45565036,BLINDED,13252221,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1024x1366,1366x917,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745342774668,22/04/2025 17:26,1745353574668,3,22/04/2025 23:26,209889,4,questionnaire-22js,,45566274,BLINDED,13252642,,complete,,,tablet,undefined K,Android 12,Chrome 114.0.5735.196,1280x800,1280x720,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745344351073,22/04/2025 17:52,1745355151073,3,22/04/2025 23:52,209889,4,questionnaire-22js,,45566838,BLINDED,13252804,,complete,,,mobile,Apple iPhone,iOS 16.0.2,Mobile Safari 16.0,393x852,393x660,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745344578810,22/04/2025 17:56,1745355378810,3,22/04/2025 23:56,209889,4,questionnaire-22js,,45566919,BLINDED,13252852,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x714,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745411980041,23/04/2025 12:39,1745422780041,3,23/04/2025 18:39,209889,4,questionnaire-22js,,45583810,BLINDED,13259775,,complete,,,tablet,Apple iPad,iOS 16.6.1,Chrome 135.0.7049.83,834x1112,1112x714,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745417179012,23/04/2025 14:06,1745427979012,3,23/04/2025 20:06,209889,4,questionnaire-22js,,45586069,BLINDED,13260856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745485936129,24/04/2025 09:12,1745496736129,3,24/04/2025 15:12,209889,4,questionnaire-22js,,45609343,BLINDED,13266799,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x602,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745483080404,24/04/2025 08:24,1745493880404,3,24/04/2025 14:24,209889,4,questionnaire-22js,,45608586,BLINDED,13266880,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,536x904,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745482625418,24/04/2025 08:17,1745493425418,3,24/04/2025 14:17,209889,4,questionnaire-22js,,45608471,BLINDED,13266891,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.38,384x832,384x695,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745494446037,24/04/2025 11:34,1745505246037,3,24/04/2025 17:34,209889,4,questionnaire-22js,,45613091,BLINDED,13269063,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,385x824,384x693,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745496103364,24/04/2025 12:01,1745506903364,3,24/04/2025 18:01,209889,4,questionnaire-22js,,45613666,BLINDED,13269182,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,320x568,320x517,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745534751086,24/04/2025 22:45,1745545551086,3,25/04/2025 04:45,209889,4,questionnaire-22js,,45628668,BLINDED,13272245,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745524277696,24/04/2025 19:51,1745535077696,3,25/04/2025 01:51,209889,4,questionnaire-22js,,45626394,BLINDED,13272594,,complete,,,mobile,Apple iPhone,iOS 18.4,Mobile Safari 18.4,402x874,402x671,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745574404156,25/04/2025 09:46,1745588804156,4,25/04/2025 17:46,209889,4,questionnaire-22js,,45635284,BLINDED,13274313,,complete,,,mobile,Xiaomi Redmi Note 9 Pro,Android 11,Yandex 25.3.0.33.00,393x873,393x712,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745651962638,26/04/2025 07:19,1745662762638,3,26/04/2025 13:19,209889,4,questionnaire-22js,,45663562,BLINDED,13274461,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1155x761,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
