Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1744966151554,18/04/2025 08:49,1744976951554,3,18/04/2025 14:49,209889,4,questionnaire-3zyp,,45492590,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,,
1,1744973209035,18/04/2025 10:46,1744984009035,3,18/04/2025 16:46,209889,4,questionnaire-3zyp,,45494385,BLINDED,13222064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x701,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1745565222627,25/04/2025 07:13,1745576022627,3,25/04/2025 13:13,209889,4,questionnaire-3zyp,,45632091,BLINDED,13222098,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745237393015,21/04/2025 12:09,1745248193015,3,21/04/2025 18:09,209889,4,questionnaire-3zyp,,45537208,BLINDED,13235556,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745239597535,21/04/2025 12:46,1745250397535,3,21/04/2025 18:46,209889,4,questionnaire-3zyp,,45537475,BLINDED,13235674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x656,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745243332218,21/04/2025 13:48,1745254132218,3,21/04/2025 19:48,209889,4,questionnaire-3zyp,,45538316,BLINDED,13235964,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1745251876315,21/04/2025 16:11,1745241076315,-3,21/04/2025 10:11,209889,4,questionnaire-3zyp,,45540261,BLINDED,13236717,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,3,4
1,1745254505542,21/04/2025 16:55,1745265305542,3,21/04/2025 22:55,209889,4,questionnaire-3zyp,,45540957,BLINDED,13236900,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,393x873,392x770,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,N,5,6
1,1745255608646,21/04/2025 17:13,1745273608646,5,22/04/2025 03:13,209889,4,questionnaire-3zyp,,45541188,BLINDED,13236965,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Instagram 376.1.0.27.82,430x932,430x853,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745261782228,21/04/2025 18:56,1745272582228,3,22/04/2025 00:56,209889,4,questionnaire-3zyp,,45543012,BLINDED,13237557,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,10,11
