Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1744966045340,18/04/2025 08:47,1744976845340,3,18/04/2025 14:47,209889,4,questionnaire-qxa3,,45492556,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1744967874642,18/04/2025 09:17,1744978674642,3,18/04/2025 15:17,209889,4,questionnaire-qxa3,,45493007,BLINDED,13222064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x701,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1744968690474,18/04/2025 09:31,1744979490474,3,18/04/2025 15:31,209889,4,questionnaire-qxa3,,45493129,BLINDED,13222098,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745236780242,21/04/2025 11:59,1745247580242,3,21/04/2025 17:59,209889,4,questionnaire-qxa3,,45537065,BLINDED,13235556,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745239259048,21/04/2025 12:40,1745250059048,3,21/04/2025 18:40,209889,4,questionnaire-qxa3,,45537433,BLINDED,13235674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x656,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745242673607,21/04/2025 13:37,1745253473607,3,21/04/2025 19:37,209889,4,questionnaire-qxa3,,45538161,BLINDED,13235964,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745243549007,21/04/2025 13:52,1745254349007,3,21/04/2025 19:52,209889,4,questionnaire-qxa3,,45538375,BLINDED,13236034,,live,,,mobile,undefined K,Android 12,Chrome 135.0.7049.100,393x873,392x736,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745248561358,21/04/2025 15:16,1745266561358,5,22/04/2025 01:16,209889,4,questionnaire-qxa3,,45539494,BLINDED,13236482,,live,,,mobile,Apple iPhone,iOS 17.6.1,Instagram 376.1.0.27.82,430x932,430x738,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745251019668,21/04/2025 15:56,1745240219668,-3,21/04/2025 09:56,209889,4,questionnaire-qxa3,,45540021,BLINDED,13236717,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x663,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745253331882,21/04/2025 16:35,1745264131882,3,21/04/2025 22:35,209889,4,questionnaire-qxa3,,45540614,BLINDED,13236900,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,393x873,392x770,,,0,Consent form Efremova,4,consent,N,Я согласен(-на).,1
1,1745254226178,21/04/2025 16:50,1745272226178,5,22/04/2025 02:50,209889,4,questionnaire-qxa3,,45540857,BLINDED,13236965,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Instagram 376.1.0.27.82,430x932,430x738,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745260935856,21/04/2025 18:42,1745271735856,3,22/04/2025 00:42,209889,4,questionnaire-qxa3,,45542724,BLINDED,13237557,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745304156842,22/04/2025 06:42,1745314956842,3,22/04/2025 12:42,209889,4,questionnaire-qxa3,,45549579,BLINDED,13241787,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745304411326,22/04/2025 06:46,1745315211326,3,22/04/2025 12:46,209889,4,questionnaire-qxa3,,45549617,BLINDED,13241911,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.38,384x832,384x699,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745305219859,22/04/2025 07:00,1745316019859,3,22/04/2025 13:00,209889,4,questionnaire-qxa3,,45549743,BLINDED,13242393,,live,,,mobile,Apple iPhone,iOS 16.0.2,Mobile Safari 16.0,393x852,393x660,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745309479926,22/04/2025 08:11,1745320279926,3,22/04/2025 14:11,209889,4,questionnaire-qxa3,,45550421,BLINDED,13244244,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,834x1194,1194x727,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745311545041,22/04/2025 08:45,1745322345041,3,22/04/2025 14:45,209889,4,questionnaire-qxa3,,45550878,BLINDED,13245052,,live,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,384x832,384x699,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745312567745,22/04/2025 09:02,1745323367745,3,22/04/2025 15:02,209889,4,questionnaire-qxa3,,45551172,BLINDED,13245415,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745312684175,22/04/2025 09:04,1745323484175,3,22/04/2025 15:04,209889,4,questionnaire-qxa3,,45551211,BLINDED,13245461,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1440x960,1432x842,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745312933556,22/04/2025 09:08,1745323733556,3,22/04/2025 15:08,209889,4,questionnaire-qxa3,,45551295,BLINDED,13245547,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,402x678,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745313392045,22/04/2025 09:16,1745324192045,3,22/04/2025 15:16,209889,4,questionnaire-qxa3,,45551442,BLINDED,13245694,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,440x956,440x760,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745337857601,22/04/2025 16:04,1745348657601,3,22/04/2025 22:04,209889,4,questionnaire-qxa3,,45564101,BLINDED,13252211,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,820x1180,820x1073,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745337920718,22/04/2025 16:05,1745348720718,3,22/04/2025 22:05,209889,4,questionnaire-qxa3,,45564135,BLINDED,13252221,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1024x1366,1366x917,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745341184971,22/04/2025 16:59,1745351984971,3,22/04/2025 22:59,209889,4,questionnaire-qxa3,,45565590,BLINDED,13252642,,complete,,,tablet,undefined K,Android 12,Chrome 114.0.5735.196,1280x800,1280x720,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745342378018,22/04/2025 17:19,1745353178018,3,22/04/2025 23:19,209889,4,questionnaire-qxa3,,45566082,BLINDED,13252804,,complete,,,mobile,Apple iPhone,iOS 16.0.2,Mobile Safari 16.0,393x852,393x660,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745342688121,22/04/2025 17:24,1745353488121,3,22/04/2025 23:24,209889,4,questionnaire-qxa3,,45566225,BLINDED,13252852,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x714,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745358280403,22/04/2025 21:44,1745369080403,3,23/04/2025 03:44,209889,4,questionnaire-qxa3,,45571772,BLINDED,13254753,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1512x982,1246x786,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745358619215,22/04/2025 21:50,1745369419215,3,23/04/2025 03:50,209889,4,questionnaire-qxa3,,45571842,BLINDED,13254875,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,402x678,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745410063088,23/04/2025 12:07,1745420863088,3,23/04/2025 18:07,209889,4,questionnaire-qxa3,,45583155,BLINDED,13259775,,complete,,,tablet,Apple iPad,iOS 16.6.1,Chrome 135.0.7049.83,834x1112,1112x714,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745412174417,23/04/2025 12:42,1745422974417,3,23/04/2025 18:42,209889,4,questionnaire-qxa3,,45583931,BLINDED,13260017,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x864,1488x716,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745412177470,23/04/2025 12:42,1745422977470,3,23/04/2025 18:42,209889,4,questionnaire-qxa3,,45583937,BLINDED,13260022,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x800,1280x631,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745415298468,23/04/2025 13:34,1745426098468,3,23/04/2025 19:34,209889,4,questionnaire-qxa3,,45585216,BLINDED,13260856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745479988783,24/04/2025 07:33,1745490788783,3,24/04/2025 13:33,209889,4,questionnaire-qxa3,,45607903,BLINDED,13266799,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x720,1272x602,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745481029406,24/04/2025 07:50,1745491829406,3,24/04/2025 13:50,209889,4,questionnaire-qxa3,,45608107,BLINDED,13266880,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,536x904,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745481104175,24/04/2025 07:51,1745491904175,3,24/04/2025 13:51,209889,4,questionnaire-qxa3,,45608114,BLINDED,13266884,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,385x824,384x693,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745481261279,24/04/2025 07:54,1745492061279,3,24/04/2025 13:54,209889,4,questionnaire-qxa3,,45608149,BLINDED,13266891,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.38,384x832,384x695,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745493650629,24/04/2025 11:20,1745504450629,3,24/04/2025 17:20,209889,4,questionnaire-qxa3,,45612717,BLINDED,13269063,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,385x824,384x693,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745494404915,24/04/2025 11:33,1745505204915,3,24/04/2025 17:33,209889,4,questionnaire-qxa3,,45613075,BLINDED,13269182,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,320x568,320x517,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745518912624,24/04/2025 18:21,1745529712624,3,25/04/2025 00:21,209889,4,questionnaire-qxa3,,45624434,BLINDED,13272245,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745522391598,24/04/2025 19:19,1745533191598,3,25/04/2025 01:19,209889,4,questionnaire-qxa3,,45625714,BLINDED,13272594,,complete,,,mobile,Apple iPhone,iOS 18.4,Mobile Safari 18.4,402x874,402x671,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745557408570,25/04/2025 05:03,1745571808570,4,25/04/2025 13:03,209889,4,questionnaire-qxa3,,45630968,BLINDED,13274061,,live,,,mobile,undefined K,Android 11,Chrome 135.0.7049.99,393x873,392x763,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745562919863,25/04/2025 06:35,1745573719863,3,25/04/2025 12:35,209889,4,questionnaire-qxa3,,45631664,BLINDED,13274259,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1920x1040,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745563932115,25/04/2025 06:52,1745578332115,4,25/04/2025 14:52,209889,4,questionnaire-qxa3,,45631865,BLINDED,13274313,,complete,,,mobile,Xiaomi Redmi Note 9 Pro,Android 11,Yandex 25.3.0.33.00,393x873,393x712,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745565043042,25/04/2025 07:10,1745575843042,3,25/04/2025 13:10,209889,4,questionnaire-qxa3,,45632056,BLINDED,13274442,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1024x576,965x444,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745565377971,25/04/2025 07:16,1745576177971,3,25/04/2025 13:16,209889,4,questionnaire-qxa3,,45632128,BLINDED,13274461,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1155x761,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
