Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему.,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему. Quantised,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи.,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи. Quantised,"values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни.","values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни. Quantised","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает.","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает. Quantised","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность.","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность. Quantised","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей.","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей. Quantised","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять.","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять. Quantised",values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания.,values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания. Quantised,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя.,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя. Quantised,"values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других.","values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других. Quantised",values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии.,values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии. Quantised,"values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения.","values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения. Quantised","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь.,values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь. Quantised,"values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным.","values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным. Quantised","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит.","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит. Quantised",values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям.,values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям. Quantised,"values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него.","values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него. Quantised","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей.","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей. Quantised","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие.","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие. Quantised"
1,1744973794082,18/04/2025 10:56,1744984594082,3,18/04/2025 16:56,209889,4,questionnaire-rdmv,,45494793,BLINDED,13222064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x701,,,0,PVQ M,3,consent,M,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня (2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2
1,1745411493405,23/04/2025 12:31,1745422293405,3,23/04/2025 18:31,209889,4,questionnaire-rdmv,,45583606,BLINDED,13259775,,complete,,,tablet,Apple iPad,iOS 16.6.1,Chrome 135.0.7049.83,834x1112,1112x714,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2,Отчасти про меня (4),4
1,1745416554433,23/04/2025 13:55,1745427354433,3,23/04/2025 19:55,209889,4,questionnaire-rdmv,,45585713,BLINDED,13260856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,PVQ M,3,consent,M,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня (2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Не похоже на меня (2),2
1,1745482357155,24/04/2025 08:12,1745493157155,3,24/04/2025 14:12,209889,4,questionnaire-rdmv,,45608420,BLINDED,13266880,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,402x874,536x904,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Не похоже на меня (2),2,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Не похоже на меня (2),2,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2,Отчасти про меня (4),4
1,1745482365923,24/04/2025 08:12,1745493165923,3,24/04/2025 14:12,209889,4,questionnaire-rdmv,,45608421,BLINDED,13266891,,live,,,mobile,undefined K,Android 14,Chrome 135.0.7049.38,384x832,384x695,,,0,PVQ M,3,consent,M,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3
1,1745532583184,24/04/2025 22:09,1745543383184,3,25/04/2025 04:09,209889,4,questionnaire-rdmv,,45628294,BLINDED,13272245,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5
1,1745570802588,25/04/2025 08:46,1745581602588,3,25/04/2025 14:46,209889,4,questionnaire-rdmv,,45633993,BLINDED,13274480,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1810x1004,,,0,PVQ M,3,consent,M,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,,,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3
1,1745570612502,25/04/2025 08:43,1745581412502,3,25/04/2025 14:43,209889,4,questionnaire-rdmv,,45633921,BLINDED,13274533,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1739x979,1740x820,,,0,PVQ M,3,consent,M,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Не похоже на меня (2),2,Не похоже на меня (2),2,Не похоже на меня (2),2,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3
1,1745614997430,25/04/2025 21:03,1745625797430,3,26/04/2025 03:03,209889,4,questionnaire-rdmv,,45659636,BLINDED,13278118,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,320x568,320x449,,,0,PVQ M,3,consent,M,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня (2),2,Не похоже на меня (2),2,Не похоже на меня (2),2,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня (2),2,Очень похоже на меня (6),6
1,1745699771373,26/04/2025 20:36,1745710571373,3,27/04/2025 02:36,209889,4,questionnaire-rdmv,,45672410,BLINDED,13286323,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x832,,,0,PVQ M,3,consent,M,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Не похоже на меня (2),2,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Не похоже на меня (2),2,Отчасти про меня (4),4,Не похоже на меня (2),2
