Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему.,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему. Quantised,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи.,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи. Quantised,"values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни.","values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни. Quantised","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает.","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает. Quantised","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность.","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность. Quantised","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей.","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей. Quantised","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять.","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять. Quantised",values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания.,values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания. Quantised,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя.,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя. Quantised,"values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других.","values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других. Quantised",values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии.,values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии. Quantised,"values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения.","values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения. Quantised","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь.,values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь. Quantised,"values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным.","values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным. Quantised","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит.","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит. Quantised",values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям.,values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям. Quantised,"values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё.","values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё. Quantised","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй.","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй. Quantised","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие.","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие. Quantised"
1,1744966234727,18/04/2025 08:50,1744977034727,3,18/04/2025 14:50,209889,4,questionnaire-x8dj,,45492617,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,PVQ F,3,consent,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1745565791506,25/04/2025 07:23,1745576591506,3,25/04/2025 13:23,209889,4,questionnaire-x8dj,,45632221,BLINDED,13222098,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня(2),2,Не похоже на меня(2),2,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня(2),2,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня(2),2
1,1745237875358,21/04/2025 12:17,1745248675358,3,21/04/2025 18:17,209889,4,questionnaire-x8dj,,45537263,BLINDED,13235556,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,PVQ F,3,consent,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1745239833806,21/04/2025 12:50,1745250633806,3,21/04/2025 18:50,209889,4,questionnaire-x8dj,,45537502,BLINDED,13235674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,393x852,393x656,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6
1,1745243899615,21/04/2025 13:58,1745254699615,3,21/04/2025 19:58,209889,4,questionnaire-x8dj,,45538452,BLINDED,13235964,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,PVQ F,3,consent,F,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня(2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Не похоже на меня(2),2,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня(2),2,Похоже на меня (5),5,Не похоже на меня(2),2
1,1745252559017,21/04/2025 16:22,1745241759017,-3,21/04/2025 10:22,209889,4,questionnaire-x8dj,,45540388,BLINDED,13236717,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x663,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня(2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3
1,1745256192331,21/04/2025 17:23,1745274192331,5,22/04/2025 03:23,209889,4,questionnaire-x8dj,,45541311,BLINDED,13236965,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Instagram 376.1.0.27.82,430x932,430x853,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня(2),2,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6
1,1745261889147,21/04/2025 18:58,1745272689147,3,22/04/2025 00:58,209889,4,questionnaire-x8dj,,45543049,BLINDED,13237557,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x919,,,0,PVQ F,3,consent,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1745304998619,22/04/2025 06:56,1745315798619,3,22/04/2025 12:56,209889,4,questionnaire-x8dj,,45549705,BLINDED,13241787,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,PVQ F,3,consent,F,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня(2),2,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня(2),2,Очень похоже на меня (6),6
1,1745310806603,22/04/2025 08:33,1745321606603,3,22/04/2025 14:33,209889,4,questionnaire-x8dj,,45550698,BLINDED,13244244,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,834x1194,1194x727,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Не похоже на меня(2),2,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5
