Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1744966115652,18/04/2025 08:48,1744976915652,3,18/04/2025 14:48,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1744966121195,18/04/2025 08:48,1744976921195,3,18/04/2025 14:48,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,5550.1,5533.5,5550.1,5550.1,5533.5,5550.1,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
3,1744966144342,18/04/2025 08:49,1744976944342,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,28699.20000000447,28684.100000000002,28699.20000000447,28699.20000000447,28684.100000000002,28699.20000000447,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,,
4,1744966144345,18/04/2025 08:49,1744976944345,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,25084,28684.100000000002,28700.800000000003,25084,28684.100000000002,28700.800000000003,1,3616.800000000003,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,
5,1744966144346,18/04/2025 08:49,1744976944346,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,Распределитель: 4 ДЕ; Получатель: 6 ДЕ,27816.7,28684.100000000002,28700.800000000003,27816.7,28684.100000000002,28700.800000000003,1,884.1000000000022,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
6,1744966144350,18/04/2025 08:49,1744976944350,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,23.500000002979505,16.700000000000728,23.500000002979505,23.500000002979505,16.700000000000728,23.500000002979505,1,0,0,,Time Limit,screen,0,screen,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
7,1744966144360,18/04/2025 08:49,1744976944360,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,17.099999999998545,16.69999999999709,17.099999999998545,17.099999999998545,16.69999999999709,17.099999999998545,1,0,0,,Time Limit,screen,0,screen,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
8,1744966147008,18/04/2025 08:49,1744976947008,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,2648.0000000014916,2633.300000000003,2648.0000000014916,2648.0000000014916,2633.300000000003,2648.0000000014916,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
9,1744966147009,18/04/2025 08:49,1744976947009,3,18/04/2025 14:49,209889,4,task-hl17,,45492576,BLINDED,13221955,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game Comprehension,5,consent,F,Spreadsheet1,,,,,,,info,END,,,31327,,,,,,,,,,,,,,
1,1744973169361,18/04/2025 10:46,1744983969361,3,18/04/2025 16:46,209889,4,task-hl17,,45494358,BLINDED,13222064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x701,,,0,Dictator Game Comprehension,5,consent,M,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
