Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1746517662471,06/05/2025 07:47,1746528462471,3,06/05/2025 13:47,226252,1,questionnaire-22js,,45887341,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746527500793,06/05/2025 10:31,1746538300793,3,06/05/2025 16:31,226252,1,questionnaire-22js,,45893332,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746527290267,06/05/2025 10:28,1746538090267,3,06/05/2025 16:28,226252,1,questionnaire-22js,,45893179,BLINDED,13354408,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.111,407x904,406x798,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746527932036,06/05/2025 10:38,1746538732036,3,06/05/2025 16:38,226252,1,questionnaire-22js,,45893641,BLINDED,13354461,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746532127089,06/05/2025 11:48,1746542927089,3,06/05/2025 17:48,226252,1,questionnaire-22js,,45895640,BLINDED,13355403,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746535311629,06/05/2025 12:41,1746546111629,3,06/05/2025 18:41,226252,1,questionnaire-22js,,45897158,BLINDED,13355857,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x628,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746535297580,06/05/2025 12:41,1746546097580,3,06/05/2025 18:41,226252,1,questionnaire-22js,,45897156,BLINDED,13355867,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,414x896,414x699,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746536306126,06/05/2025 12:58,1746547106126,3,06/05/2025 18:58,226252,1,questionnaire-22js,,45898357,BLINDED,13356342,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x962,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746552585331,06/05/2025 17:29,1746563385331,3,06/05/2025 23:29,226252,1,questionnaire-22js,,45907871,BLINDED,13358465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1800x1169,754x948,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746550601360,06/05/2025 16:56,1746561401360,3,06/05/2025 22:56,226252,1,questionnaire-22js,,45906896,BLINDED,13358478,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,393x873,392x739,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746561551062,06/05/2025 19:59,1746572351062,3,07/05/2025 01:59,226252,1,questionnaire-22js,,45911859,BLINDED,13358639,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x788,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746633343247,07/05/2025 15:55,1746658543247,7,08/05/2025 05:55,226252,1,questionnaire-22js,,45954516,BLINDED,13369186,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x730,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746658233629,07/05/2025 22:50,1746669033629,3,08/05/2025 04:50,226252,1,questionnaire-22js,,45969015,BLINDED,13372674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746656596285,07/05/2025 22:23,1746667396285,3,08/05/2025 04:23,226252,1,questionnaire-22js,,45968723,BLINDED,13372690,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1920x1080,1920x964,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746703350905,08/05/2025 11:22,1746714150905,3,08/05/2025 17:22,226252,1,questionnaire-22js,,45983640,BLINDED,13376184,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x940,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
