Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1746516935226,06/05/2025 07:35,1746527735226,3,06/05/2025 13:35,226252,1,questionnaire-3zyp,,45887115,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746525735490,06/05/2025 10:02,1746536535490,3,06/05/2025 16:02,226252,1,questionnaire-3zyp,,45891809,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746525837740,06/05/2025 10:03,1746536637740,3,06/05/2025 16:03,226252,1,questionnaire-3zyp,,45891858,BLINDED,13354408,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.111,407x904,406x798,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,3,4
1,1746526568019,06/05/2025 10:16,1746537368019,3,06/05/2025 16:16,226252,1,questionnaire-3zyp,,45892518,BLINDED,13354461,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746531065328,06/05/2025 11:31,1746541865328,3,06/05/2025 17:31,226252,1,questionnaire-3zyp,,45895281,BLINDED,13355403,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1746533982747,06/05/2025 12:19,1746544782747,3,06/05/2025 18:19,226252,1,questionnaire-3zyp,,45896500,BLINDED,13355857,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x628,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,8,9
1,1746534063223,06/05/2025 12:21,1746544863223,3,06/05/2025 18:21,226252,1,questionnaire-3zyp,,45896544,BLINDED,13355867,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746535994479,06/05/2025 12:53,1746546794479,3,06/05/2025 18:53,226252,1,questionnaire-3zyp,,45898004,BLINDED,13356342,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x962,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746550269797,06/05/2025 16:51,1746561069797,3,06/05/2025 22:51,226252,1,questionnaire-3zyp,,45906707,BLINDED,13358465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1800x1169,1800x948,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746549065247,06/05/2025 16:31,1746559865247,3,06/05/2025 22:31,226252,1,questionnaire-3zyp,,45906292,BLINDED,13358478,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,393x873,392x739,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746557739281,06/05/2025 18:55,1746568539281,3,07/05/2025 00:55,226252,1,questionnaire-3zyp,,45910231,BLINDED,13358639,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x788,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746632506210,07/05/2025 15:41,1746657706210,7,08/05/2025 05:41,226252,1,questionnaire-3zyp,,45953626,BLINDED,13369186,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746657265795,07/05/2025 22:34,1746668065795,3,08/05/2025 04:34,226252,1,questionnaire-3zyp,,45968860,BLINDED,13372674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,6,7
1,1746653882793,07/05/2025 21:38,1746664682793,3,08/05/2025 03:38,226252,1,questionnaire-3zyp,,45967967,BLINDED,13372676,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,440x956,440x760,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,8,9
1,1746655075949,07/05/2025 21:57,1746665875949,3,08/05/2025 03:57,226252,1,questionnaire-3zyp,,45968364,BLINDED,13372690,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1920x1080,1920x964,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,2,3
1,1746700823209,08/05/2025 10:40,1746711623209,3,08/05/2025 16:40,226252,1,questionnaire-3zyp,,45981574,BLINDED,13376184,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x940,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746708507987,08/05/2025 12:48,1746719307987,3,08/05/2025 18:48,226252,1,questionnaire-3zyp,,45986909,BLINDED,13377225,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,6,7
1,1746706828992,08/05/2025 12:20,1746717628992,3,08/05/2025 18:20,226252,1,questionnaire-3zyp,,45985714,BLINDED,13377461,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746708937674,08/05/2025 12:55,1746741337674,9,09/05/2025 06:55,226252,1,questionnaire-3zyp,,45987179,BLINDED,13377710,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,3,4
1,1746709865556,08/05/2025 13:11,1746720665556,3,08/05/2025 19:11,226252,1,questionnaire-3zyp,,45987856,BLINDED,13378131,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,393x852,393x659,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746735604794,08/05/2025 20:20,1746746404794,3,09/05/2025 02:20,226252,1,questionnaire-3zyp,,46002294,BLINDED,13381336,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,428x926,428x745,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,1,2
1,1746741886593,08/05/2025 22:04,1746777886593,10,09/05/2025 18:04,226252,1,questionnaire-3zyp,,46004684,BLINDED,13381824,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,412x915,411x770,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746804103479,09/05/2025 15:21,1746814903479,3,09/05/2025 21:21,226252,1,questionnaire-3zyp,,46024754,BLINDED,13387690,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2,402x874,402x678,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1746959256436,11/05/2025 10:27,1746970056436,3,11/05/2025 16:27,226252,1,questionnaire-3zyp,,46059975,BLINDED,13394169,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1746967009049,11/05/2025 12:36,1746977809049,3,11/05/2025 18:36,226252,1,questionnaire-3zyp,,46062864,BLINDED,13394713,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,393x852,393x659,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1746972320390,11/05/2025 14:05,1746986720390,4,11/05/2025 22:05,226252,1,questionnaire-3zyp,,46064283,BLINDED,13394965,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,2,3
1,1746975250619,11/05/2025 14:54,1746989650619,4,11/05/2025 22:54,226252,1,questionnaire-3zyp,,46065061,BLINDED,13395769,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,2,3
1,1747107418310,13/05/2025 03:36,1747125418310,5,13/05/2025 13:36,226252,1,questionnaire-3zyp,,46109550,BLINDED,13406921,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,,
1,1747498958690,17/05/2025 16:22,1747516958690,5,18/05/2025 02:22,226252,1,questionnaire-3zyp,,46277703,BLINDED,13448123,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747606072598,18/05/2025 22:07,1747616872598,3,19/05/2025 04:07,226252,1,questionnaire-3zyp,,46292076,BLINDED,13451553,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1280x720,1280x580,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,3,4
1,1747678361548,19/05/2025 18:12,1747689161548,3,20/05/2025 00:12,226252,1,questionnaire-3zyp,,46314901,BLINDED,13458005,,complete,,,mobile,Apple iPhone,iOS 16.4.1,Mobile Safari 16.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1747679469851,19/05/2025 18:31,1747690269851,3,20/05/2025 00:31,226252,1,questionnaire-3zyp,,46315505,BLINDED,13458160,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1536x864,1522x704,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747723107494,20/05/2025 06:38,1747733907494,3,20/05/2025 12:38,226252,1,questionnaire-3zyp,,46325406,BLINDED,13460426,,complete,,,mobile,undefined undefined,Android 15,Firefox 138.0,360x780,360x681,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747726776327,20/05/2025 07:39,1747737576327,3,20/05/2025 13:39,226252,1,questionnaire-3zyp,,46326417,BLINDED,13460711,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747730022497,20/05/2025 08:33,1747740822497,3,20/05/2025 14:33,226252,1,questionnaire-3zyp,,46327342,BLINDED,13460877,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747740846552,20/05/2025 11:34,1747751646552,3,20/05/2025 17:34,226252,1,questionnaire-3zyp,,46332291,BLINDED,13462235,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,2048x1152,2000x1036,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
