Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1746516366148,06/05/2025 07:26,1746527166148,3,06/05/2025 13:26,226252,1,questionnaire-qxa3,,45886881,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746524708280,06/05/2025 09:45,1746535508280,3,06/05/2025 15:45,226252,1,questionnaire-qxa3,,45891113,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746524879889,06/05/2025 09:47,1746535679889,3,06/05/2025 15:47,226252,1,questionnaire-qxa3,,45891252,BLINDED,13354408,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.111,407x904,406x798,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746525199533,06/05/2025 09:53,1746535999533,3,06/05/2025 15:53,226252,1,questionnaire-qxa3,,45891452,BLINDED,13354461,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746525914756,06/05/2025 10:05,1746536714756,3,06/05/2025 16:05,226252,1,questionnaire-qxa3,,45891891,BLINDED,13354560,,live,,,mobile,undefined K,Android 13,Chrome 135.0.7049.111,393x873,392x735,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746530416645,06/05/2025 11:20,1746541216645,3,06/05/2025 17:20,226252,1,questionnaire-qxa3,,45895033,BLINDED,13355403,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746533149014,06/05/2025 12:05,1746543949014,3,06/05/2025 18:05,226252,1,questionnaire-qxa3,,45896104,BLINDED,13355856,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,414x896,414x699,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746533181235,06/05/2025 12:06,1746543981235,3,06/05/2025 18:06,226252,1,questionnaire-qxa3,,45896116,BLINDED,13355857,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x628,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746533256567,06/05/2025 12:07,1746544056567,3,06/05/2025 18:07,226252,1,questionnaire-qxa3,,45896142,BLINDED,13355867,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,414x896,414x699,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746535722586,06/05/2025 12:48,1746546522586,3,06/05/2025 18:48,226252,1,questionnaire-qxa3,,45897657,BLINDED,13356326,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1200,1920x1073,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
