Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему.,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему. Quantised,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи.,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи. Quantised,"values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни.","values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни. Quantised","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает.","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает. Quantised","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность.","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность. Quantised","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей.","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей. Quantised","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять.","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять. Quantised",values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания.,values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания. Quantised,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя.,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя. Quantised,"values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других.","values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других. Quantised",values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии.,values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии. Quantised,"values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения.","values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения. Quantised","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь.,values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь. Quantised,"values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным.","values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным. Quantised","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит.","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит. Quantised",values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям.,values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям. Quantised,"values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё.","values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё. Quantised","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй.","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй. Quantised","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие.","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие. Quantised"
1,1746526592530,06/05/2025 10:16,1746537392530,3,06/05/2025 16:16,226252,1,questionnaire-x8dj,,45892542,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня(2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6
1,1746527215443,06/05/2025 10:26,1746538015443,3,06/05/2025 16:26,226252,1,questionnaire-x8dj,,45893122,BLINDED,13354461,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Не похоже на меня(2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня(2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3
1,1746531595425,06/05/2025 11:39,1746542395425,3,06/05/2025 17:39,226252,1,questionnaire-x8dj,,45895436,BLINDED,13355403,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,PVQ F,3,consent,F,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Немного похоже на меня (3),3,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Отчасти про меня (4),4
1,1746534563864,06/05/2025 12:29,1746545363864,3,06/05/2025 18:29,226252,1,questionnaire-x8dj,,45896809,BLINDED,13355857,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x628,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня(2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4
1,1746534630655,06/05/2025 12:30,1746545430655,3,06/05/2025 18:30,226252,1,questionnaire-x8dj,,45896842,BLINDED,13355867,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,414x896,414x699,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня(2),2,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Не похоже на меня(2),2,Немного похоже на меня (3),3,Совсем не похоже на меня (1),1,Отчасти про меня (4),4
1,1746549737076,06/05/2025 16:42,1746560537076,3,06/05/2025 22:42,226252,1,questionnaire-x8dj,,45906487,BLINDED,13358478,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,393x873,392x739,,,0,PVQ F,3,consent,F,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Похоже на меня (5),5
1,1746560749794,06/05/2025 19:45,1746571549794,3,07/05/2025 01:45,226252,1,questionnaire-x8dj,,45911581,BLINDED,13358639,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x788,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня(2),2,Отчасти про меня (4),4,Не похоже на меня(2),2,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Не похоже на меня(2),2,Немного похоже на меня (3),3
1,1746657746084,07/05/2025 22:42,1746668546084,3,08/05/2025 04:42,226252,1,questionnaire-x8dj,,45968945,BLINDED,13372674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня(2),2,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6
1,1746708803901,08/05/2025 12:53,1746719603901,3,08/05/2025 18:53,226252,1,questionnaire-x8dj,,45987095,BLINDED,13377225,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,PVQ F,3,consent,F,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3
1,1746707207750,08/05/2025 12:26,1746718007750,3,08/05/2025 18:26,226252,1,questionnaire-x8dj,,45985990,BLINDED,13377461,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Отчасти про меня (4),4,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Совсем не похоже на меня (1),1,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня(2),2,Очень похоже на меня (6),6,Очень похоже на меня (6),6
