Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Store: question1,Store: question2
1,1746516988172,06/05/2025 07:36,1746527788172,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1746517011599,06/05/2025 07:36,1746527811599,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,23441.150000190733,23431.85,23441.150000190733,23441.150000190733,23431.85,23441.150000190733,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
3,1746517011603,06/05/2025 07:36,1746527811603,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,Распределитель 0 ДЕ; Получатель 0 ДЕ,16965.449999999997,23431.85,23444.85,16965.449999999997,23431.85,23444.85,1,6479.4000000000015,0,question1,Multiple choice,Multiple choice,3,object-3,Comprehension,Распределитель 0 ДЕ; Получатель 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
4,1746517011604,06/05/2025 07:36,1746527811604,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,response,Распределитель 4 ДЕ; Получатель 6 ДЕ,21165.449999999997,23431.85,23445.95000038147,21165.449999999997,23431.85,23445.95000038147,1,2280.500000381471,0,question2,Multiple choice,Multiple choice,5,object-6,Comprehension,Распределитель 0 ДЕ; Получатель 0 ДЕ,Распределитель 4 ДЕ; Получатель 6 ДЕ
5,1746517011624,06/05/2025 07:36,1746527811624,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,Check,p5wdmy,2,timedOut,,34.60000038146973,33.29999999999927,34.60000038146973,34.60000038146973,33.29999999999927,34.60000038146973,1,0,0,,Time Limit,screen,0,screen,Comprehension,Распределитель 0 ДЕ; Получатель 0 ДЕ,Распределитель 4 ДЕ; Получатель 6 ДЕ
6,1746517011657,06/05/2025 07:36,1746527811657,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,Check2,s8qmgf,3,timedOut,,34.800000381470454,33.70000000000073,34.800000381470454,34.800000381470454,33.70000000000073,34.800000381470454,1,0,0,,Time Limit,screen,0,screen,Comprehension,Распределитель 0 ДЕ; Получатель 0 ДЕ,Распределитель 4 ДЕ; Получатель 6 ДЕ
7,1746517013294,06/05/2025 07:36,1746527813294,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,Spreadsheet1,1,Comprehension,"Right, Continue",efr3j9,4,continue,,1637.5,1616.7000000000007,1637.5,1637.5,1616.7000000000007,1637.5,1,0,0,,Click To Continue,Continue Button,2,object-49,Comprehension,Распределитель 0 ДЕ; Получатель 0 ДЕ,Распределитель 4 ДЕ; Получатель 6 ДЕ
8,1746517013295,06/05/2025 07:36,1746527813295,3,06/05/2025 13:36,226252,1,task-xdtb,,45887133,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,Ultimatum Game Comprehension,4,consent,M,Spreadsheet1,,,,,,,info,END,,,25075,,,,,,,,,,,,,,
1,1746525816813,06/05/2025 10:03,1746536616813,3,06/05/2025 16:03,226252,1,task-xdtb,,45891851,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,Ultimatum Game Comprehension,4,consent,F,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,
2,1746525829877,06/05/2025 10:03,1746536629877,3,06/05/2025 16:03,226252,1,task-xdtb,,45891851,BLINDED,13354375,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x800,360x696,,,0,Ultimatum Game Comprehension,4,consent,F,Spreadsheet1,Spreadsheet1,1,Comprehension,Questions,xmui3k,1,continue,,15174.2,15157.7,15174.2,15174.2,15157.7,15174.2,0,0,0,,Click To Continue,Continue Button,6,object-9,Comprehension,Распределитель: 10 ДЕ; Получатель: 0 ДЕ,Распределитель: 4 ДЕ; Получатель: 6 ДЕ
