Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1742820385586,24/03/2025 12:46,1742831185586,3,24/03/2025 18:46,209877,4,questionnaire-3245,,44656188,BLINDED,13016230,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,390x844,390x663,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742829740844,24/03/2025 15:22,1742840540844,3,24/03/2025 21:22,209877,4,questionnaire-3245,,44662863,BLINDED,13018127,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742972325430,26/03/2025 06:58,1742983125430,3,26/03/2025 12:58,209877,4,questionnaire-3245,,44723482,BLINDED,13035221,,complete,,,mobile,undefined K,Android 10,Opera 86.0.0.0,424x942,424x786,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742975856568,26/03/2025 07:57,1742986656568,3,26/03/2025 13:57,209877,4,questionnaire-3245,,44724599,BLINDED,13035300,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,320x694,320x598,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975735739,26/03/2025 07:55,1742986535739,3,26/03/2025 13:55,209877,4,questionnaire-3245,,44724561,BLINDED,13035303,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,414x896,414x699,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742977110842,26/03/2025 08:18,1742987910842,3,26/03/2025 14:18,209877,4,questionnaire-3245,,44724973,BLINDED,13035304,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x712,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742977414831,26/03/2025 08:23,1742988214831,3,26/03/2025 14:23,209877,4,questionnaire-3245,,44725060,BLINDED,13035307,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976113296,26/03/2025 08:01,1742986913296,3,26/03/2025 14:01,209877,4,questionnaire-3245,,44724680,BLINDED,13035309,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x876,392x744,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975831155,26/03/2025 07:57,1742986631155,3,26/03/2025 13:57,209877,4,questionnaire-3245,,44724595,BLINDED,13035310,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2.1,440x956,440x753,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975864563,26/03/2025 07:57,1742986664563,3,26/03/2025 13:57,209877,4,questionnaire-3245,,44724620,BLINDED,13035327,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,412x892,411x792,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975560794,26/03/2025 07:52,1742986360794,3,26/03/2025 13:52,209877,4,questionnaire-3245,,44724491,BLINDED,13035336,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x832,384x701,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976557452,26/03/2025 08:09,1742987357452,3,26/03/2025 14:09,209877,4,questionnaire-3245,,44724800,BLINDED,13035326,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,412x915,411x780,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975776138,26/03/2025 07:56,1742986576138,3,26/03/2025 13:56,209877,4,questionnaire-3245,,44724574,BLINDED,13035324,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,414x896,414x714,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976174439,26/03/2025 08:02,1742986974439,3,26/03/2025 14:02,209877,4,questionnaire-3245,,44724705,BLINDED,13035328,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x613,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976733307,26/03/2025 08:12,1742987533307,3,26/03/2025 14:12,209877,4,questionnaire-3245,,44724870,BLINDED,13035339,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x806,360x713,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742977240237,26/03/2025 08:20,1742988040237,3,26/03/2025 14:20,209877,4,questionnaire-3245,,44724998,BLINDED,13035340,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x735,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975252252,26/03/2025 07:47,1742986052252,3,26/03/2025 13:47,209877,4,questionnaire-3245,,44724349,BLINDED,13035332,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,414x896,414x699,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975494061,26/03/2025 07:51,1742986294061,3,26/03/2025 13:51,209877,4,questionnaire-3245,,44724457,BLINDED,13035343,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x766,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742976017161,26/03/2025 08:00,1742986817161,3,26/03/2025 14:00,209877,4,questionnaire-3245,,44724645,BLINDED,13035314,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x832,384x701,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975702131,26/03/2025 07:55,1742986502131,3,26/03/2025 13:55,209877,4,questionnaire-3245,,44724522,BLINDED,13035322,,complete,,,mobile,undefined K,Android 9,Chrome 129.0.6668.81,360x780,360x657,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975642606,26/03/2025 07:54,1742986442606,3,26/03/2025 13:54,209877,4,questionnaire-3245,,44724521,BLINDED,13035331,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,414x896,414x703,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976165134,26/03/2025 08:02,1742986965134,3,26/03/2025 14:02,209877,4,questionnaire-3245,,44724698,BLINDED,13035348,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,414x896,414x699,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742974918556,26/03/2025 07:41,1742985718556,3,26/03/2025 13:41,209877,4,questionnaire-3245,,44724200,BLINDED,13035321,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975235720,26/03/2025 07:47,1742986035720,3,26/03/2025 13:47,209877,4,questionnaire-3245,,44724341,BLINDED,13035315,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975122781,26/03/2025 07:45,1742985922781,3,26/03/2025 13:45,209877,4,questionnaire-3245,,44724290,BLINDED,13035358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x960,1495x766,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975107414,26/03/2025 07:45,1742985907414,3,26/03/2025 13:45,209877,4,questionnaire-3245,,44724280,BLINDED,13035359,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975765471,26/03/2025 07:56,1742986565471,3,26/03/2025 13:56,209877,4,questionnaire-3245,,44724569,BLINDED,13035361,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975906568,26/03/2025 07:58,1742986706568,3,26/03/2025 13:58,209877,4,questionnaire-3245,,44724615,BLINDED,13035368,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,430x932,430x729,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742975418283,26/03/2025 07:50,1742986218283,3,26/03/2025 13:50,209877,4,questionnaire-3245,,44724419,BLINDED,13035370,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,393x852,393x649,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976216360,26/03/2025 08:03,1742987016360,3,26/03/2025 14:03,209877,4,questionnaire-3245,,44724718,BLINDED,13035372,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.39,393x873,392x735,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742975394920,26/03/2025 07:49,1742986194920,3,26/03/2025 13:49,209877,4,questionnaire-3245,,44724408,BLINDED,13035379,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x714,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742974916947,26/03/2025 07:41,1742985716947,3,26/03/2025 13:41,209877,4,questionnaire-3245,,44724198,BLINDED,13035390,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,375x812,375x613,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742978021430,26/03/2025 08:33,1742988821430,3,26/03/2025 14:33,209877,4,questionnaire-3245,,44725199,BLINDED,13035424,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x804,360x695,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1742975607162,26/03/2025 07:53,1742986407162,3,26/03/2025 13:53,209877,4,questionnaire-3245,,44724506,BLINDED,13035423,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976168157,26/03/2025 08:02,1742986968157,3,26/03/2025 14:02,209877,4,questionnaire-3245,,44724699,BLINDED,13035376,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x711,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976089419,26/03/2025 08:01,1742986889419,3,26/03/2025 14:01,209877,4,questionnaire-3245,,44724671,BLINDED,13035454,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x854,384x714,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742976362544,26/03/2025 08:06,1742987162544,3,26/03/2025 14:06,209877,4,questionnaire-3245,,44724777,BLINDED,13035472,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1742992776720,26/03/2025 12:39,1743003576720,3,26/03/2025 18:39,209877,4,questionnaire-3245,,44733388,BLINDED,13037683,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1743005360282,26/03/2025 16:09,1743016160282,3,26/03/2025 22:09,209877,4,questionnaire-3245,,44742052,BLINDED,13039972,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.39,393x873,392x735,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1743407561475,31/03/2025 07:52,1743418361475,3,31/03/2025 13:52,209877,4,questionnaire-3245,,44944277,BLINDED,13074923,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,360x825,360x728,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1743407401179,31/03/2025 07:50,1743418201179,3,31/03/2025 13:50,209877,4,questionnaire-3245,,44944206,BLINDED,13074905,,complete,,,mobile,Apple iPhone,iOS 16.5.1,Mobile Safari 16.5.1,414x896,414x699,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1743407966895,31/03/2025 07:59,1743418766895,3,31/03/2025 13:59,209877,4,questionnaire-3245,,44944457,BLINDED,13074904,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.109,393x873,392x767,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1743408509065,31/03/2025 08:08,1743419309065,3,31/03/2025 14:08,209877,4,questionnaire-3245,,44944696,BLINDED,13075005,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,360x806,360x662,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745864764561,28/04/2025 18:26,1745875564561,3,29/04/2025 00:26,209877,4,questionnaire-3245,,45708604,BLINDED,13300293,,complete,,,mobile,Apple iPhone,iOS 18.1,Mobile Safari 18.1,393x852,393x656,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745870153409,28/04/2025 19:55,1745880953409,3,29/04/2025 01:55,209877,4,questionnaire-3245,,45710918,BLINDED,13301121,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x864,1488x748,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745906903098,29/04/2025 06:08,1745917703098,3,29/04/2025 12:08,209877,4,questionnaire-3245,,45717604,BLINDED,13303220,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745940621625,29/04/2025 15:30,1745951421625,3,29/04/2025 21:30,209877,4,questionnaire-3245,,45733295,BLINDED,13308331,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1366x768,1366x641,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745943235979,29/04/2025 16:13,1745954035979,3,29/04/2025 22:13,209877,4,questionnaire-3245,,45734664,BLINDED,13308349,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1745940769771,29/04/2025 15:32,1745951569771,3,29/04/2025 21:32,209877,4,questionnaire-3245,,45733372,BLINDED,13308255,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.110,393x851,392x718,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745940695602,29/04/2025 15:31,1745951495602,3,29/04/2025 21:31,209877,4,questionnaire-3245,,45733343,BLINDED,13308251,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745940714461,29/04/2025 15:31,1745951514461,3,29/04/2025 21:31,209877,4,questionnaire-3245,,45733349,BLINDED,13308277,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.100,393x873,392x735,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745940803024,29/04/2025 15:33,1745951603024,3,29/04/2025 21:33,209877,4,questionnaire-3245,,45733385,BLINDED,13308269,,complete,,,mobile,undefined K,Android 14,Chrome 135.0.7049.111,384x832,384x733,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745942353667,29/04/2025 15:59,1745953153667,3,29/04/2025 21:59,209877,4,questionnaire-3245,,45734370,BLINDED,13308568,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 124.0.0.0,1366x768,1358x654,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745945645324,29/04/2025 16:54,1745956445324,3,29/04/2025 22:54,209877,4,questionnaire-3245,,45735238,BLINDED,13308953,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1536x864,1528x738,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1745951434756,29/04/2025 18:30,1745962234756,3,30/04/2025 00:30,209877,4,questionnaire-3245,,45737034,BLINDED,13309676,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x960,1488x844,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746001680735,30/04/2025 08:28,1746012480735,3,30/04/2025 14:28,209877,4,questionnaire-3245,,45748216,BLINDED,13312514,,complete,,,mobile,Xiaomi 23124RA7EO,Android 14,Yandex 25.3.0.33.00,393x873,393x684,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746008311745,30/04/2025 10:18,1746019111745,3,30/04/2025 16:18,209877,4,questionnaire-3245,,45754648,BLINDED,13313155,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,390x844,390x663,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746006688592,30/04/2025 09:51,1746017488592,3,30/04/2025 15:51,209877,4,questionnaire-3245,,45750412,BLINDED,13313216,,live,,,mobile,Xiaomi 23124RA7EO,Android 14,Yandex 25.3.0.33.00,393x873,393x684,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746013818216,30/04/2025 11:50,1746049818216,10,01/05/2025 07:50,209877,4,questionnaire-3245,,45758568,BLINDED,13315463,,complete,,,mobile,Apple iPhone,iOS 17.7.1,Mobile Safari 17.7.1,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746013604358,30/04/2025 11:46,1746024404358,3,30/04/2025 17:46,209877,4,questionnaire-3245,,45758400,BLINDED,13315381,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x954,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
1,1746014011093,30/04/2025 11:53,1746039211093,7,01/05/2025 01:53,209877,4,questionnaire-3245,,45758721,BLINDED,13315503,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746013754030,30/04/2025 11:49,1746038954030,7,01/05/2025 01:49,209877,4,questionnaire-3245,,45758517,BLINDED,13315578,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746015927591,30/04/2025 12:25,1746041127591,7,01/05/2025 02:25,209877,4,questionnaire-3245,,45759502,BLINDED,13315865,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,375x812,375x613,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746193485280,02/05/2025 13:44,1746204285280,3,02/05/2025 19:44,209877,4,questionnaire-3245,,45814937,BLINDED,13331610,,complete,,,mobile,undefined K,Android 10,Chrome 133.0.0.0,360x796,360x707,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746194119564,02/05/2025 13:55,1746204919564,3,02/05/2025 19:55,209877,4,questionnaire-3245,,45815259,BLINDED,13332020,,live,,,mobile,undefined K,Android 13,Chrome 135.0.7049.110,360x800,360x720,,,0,Debrief Olga,2,consent,F,,,,,info,,BEGIN,,,,,
1,1746196468995,02/05/2025 14:34,1746207268995,3,02/05/2025 20:34,209877,4,questionnaire-3245,,45816724,BLINDED,13332181,,complete,,,mobile,undefined K,Android 12,Chrome 135.0.7049.110,385x854,384x725,,,0,Debrief Olga,2,consent,M,,,,,info,,BEGIN,,,,,
