Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1742819150954,24/03/2025 12:25,1742829950954,3,24/03/2025 18:25,209877,4,questionnaire-3zyp,,44655462,BLINDED,13016230,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742828018518,24/03/2025 14:53,1742838818518,3,24/03/2025 20:53,209877,4,questionnaire-3zyp,,44661609,BLINDED,13018127,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,3,4
1,1742971382544,26/03/2025 06:43,1742982182544,3,26/03/2025 12:43,209877,4,questionnaire-3zyp,,44723386,BLINDED,13035221,,complete,,,mobile,undefined K,Android 10,Opera 86.0.0.0,424x942,424x786,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1742974439002,26/03/2025 07:33,1742985239002,3,26/03/2025 13:33,209877,4,questionnaire-3zyp,,44723992,BLINDED,13035300,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,320x694,320x598,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,3,4
1,1742974225202,26/03/2025 07:30,1742985025202,3,26/03/2025 13:30,209877,4,questionnaire-3zyp,,44723887,BLINDED,13035303,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974896177,26/03/2025 07:41,1742985696177,3,26/03/2025 13:41,209877,4,questionnaire-3zyp,,44724189,BLINDED,13035304,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x712,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742975081456,26/03/2025 07:44,1742985881456,3,26/03/2025 13:44,209877,4,questionnaire-3zyp,,44724271,BLINDED,13035307,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974481320,26/03/2025 07:34,1742985281320,3,26/03/2025 13:34,209877,4,questionnaire-3zyp,,44724005,BLINDED,13035309,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x876,392x744,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974702643,26/03/2025 07:38,1742985502643,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724100,BLINDED,13035310,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2.1,440x956,440x753,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742975521138,26/03/2025 07:52,1742986321138,3,26/03/2025 13:52,209877,4,questionnaire-3zyp,,44724468,BLINDED,13035334,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,5,6
1,1742974515821,26/03/2025 07:35,1742985315821,3,26/03/2025 13:35,209877,4,questionnaire-3zyp,,44724038,BLINDED,13035327,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,412x892,411x792,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974391972,26/03/2025 07:33,1742985191972,3,26/03/2025 13:33,209877,4,questionnaire-3zyp,,44723965,BLINDED,13035336,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x832,384x701,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974899714,26/03/2025 07:41,1742985699714,3,26/03/2025 13:41,209877,4,questionnaire-3zyp,,44724127,BLINDED,13035326,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,412x915,411x780,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,10,11
1,1742974251102,26/03/2025 07:30,1742985051102,3,26/03/2025 13:30,209877,4,questionnaire-3zyp,,44723895,BLINDED,13035323,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974657978,26/03/2025 07:37,1742985457978,3,26/03/2025 13:37,209877,4,questionnaire-3zyp,,44724075,BLINDED,13035324,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,414x896,414x714,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974722053,26/03/2025 07:38,1742985522053,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724108,BLINDED,13035328,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x613,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,8,9
1,1742974926501,26/03/2025 07:42,1742985726501,3,26/03/2025 13:42,209877,4,questionnaire-3zyp,,44724209,BLINDED,13035339,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x806,360x713,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1742975294461,26/03/2025 07:48,1742986094461,3,26/03/2025 13:48,209877,4,questionnaire-3zyp,,44724366,BLINDED,13035340,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974332441,26/03/2025 07:32,1742985132441,3,26/03/2025 13:32,209877,4,questionnaire-3zyp,,44723937,BLINDED,13035332,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742974851034,26/03/2025 07:40,1742985651034,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724166,BLINDED,13035319,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,360x800,360x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,4,5
1,1742974700760,26/03/2025 07:38,1742985500760,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724098,BLINDED,13035341,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,7,8
1,1742974821836,26/03/2025 07:40,1742985621836,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724151,BLINDED,13035343,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x766,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1742975075872,26/03/2025 07:44,1742985875872,3,26/03/2025 13:44,209877,4,questionnaire-3zyp,,44724268,BLINDED,13035313,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x854,384x713,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,7,8
1,1742974659643,26/03/2025 07:37,1742985459643,3,26/03/2025 13:37,209877,4,questionnaire-3zyp,,44724073,BLINDED,13035314,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x832,384x701,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974728670,26/03/2025 07:38,1742985528670,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724111,BLINDED,13035345,,live,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974556625,26/03/2025 07:35,1742985356625,3,26/03/2025 13:35,209877,4,questionnaire-3zyp,,44724010,BLINDED,13035322,,complete,,,mobile,undefined K,Android 9,Chrome 129.0.6668.81,360x780,360x657,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974557899,26/03/2025 07:35,1742985357899,3,26/03/2025 13:35,209877,4,questionnaire-3zyp,,44724030,BLINDED,13035331,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,414x896,414x703,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974725003,26/03/2025 07:38,1742985525003,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724110,BLINDED,13035348,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,0,1
