Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему.,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему. Quantised,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи.,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи. Quantised,"values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни.","values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни. Quantised","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает.","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает. Quantised","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность.","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность. Quantised","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей.","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей. Quantised","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять.","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять. Quantised",values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания.,values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания. Quantised,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя.,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя. Quantised,"values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других.","values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других. Quantised",values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии.,values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии. Quantised,"values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения.","values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения. Quantised","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь.,values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь. Quantised,"values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным.","values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным. Quantised","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит.","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит. Quantised",values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям.,values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям. Quantised,"values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него.","values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него. Quantised","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей.","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей. Quantised","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие.","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие. Quantised"
1,1742828618668,24/03/2025 15:03,1742839418668,3,24/03/2025 21:03,209877,4,questionnaire-rdmv,,44662106,BLINDED,13018127,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5
1,1742971937463,26/03/2025 06:52,1742982737463,3,26/03/2025 12:52,209877,4,questionnaire-rdmv,,44723424,BLINDED,13035221,,complete,,,mobile,undefined K,Android 10,Opera 86.0.0.0,424x942,424x786,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Похоже на меня (5),5
1,1742975747934,26/03/2025 07:55,1742986547934,3,26/03/2025 13:55,209877,4,questionnaire-rdmv,,44724566,BLINDED,13035339,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x806,360x713,,,0,PVQ M,3,consent,M,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5
1,1742975233508,26/03/2025 07:47,1742986033508,3,26/03/2025 13:47,209877,4,questionnaire-rdmv,,44724339,BLINDED,13035341,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3
1,1742975096881,26/03/2025 07:44,1742985896881,3,26/03/2025 13:44,209877,4,questionnaire-rdmv,,44724277,BLINDED,13035343,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x766,,,0,PVQ M,3,consent,M,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,,,Немного похоже на меня (3),3,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня (2),2,Очень похоже на меня (6),6,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня (2),2,Очень похоже на меня (6),6,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Похоже на меня (5),5
1,1742976244080,26/03/2025 08:04,1742987044080,3,26/03/2025 14:04,209877,4,questionnaire-rdmv,,44724730,BLINDED,13035313,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x854,384x713,,,0,PVQ M,3,consent,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1742975525855,26/03/2025 07:52,1742986325855,3,26/03/2025 13:52,209877,4,questionnaire-rdmv,,44724469,BLINDED,13035372,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.39,393x873,392x735,,,0,PVQ M,3,consent,M,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Не похоже на меня (2),2
1,1742974585642,26/03/2025 07:36,1742985385642,3,26/03/2025 13:36,209877,4,questionnaire-rdmv,,44724044,BLINDED,13035390,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,375x812,375x613,,,0,PVQ M,3,consent,M,Не похоже на меня (2),2,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Не похоже на меня (2),2,Очень похоже на меня (6),6
1,1742976731168,26/03/2025 08:12,1742987531168,3,26/03/2025 14:12,209877,4,questionnaire-rdmv,,44724867,BLINDED,13035424,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x804,360x695,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня (2),2,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2
1,1742992305677,26/03/2025 12:31,1743003105677,3,26/03/2025 18:31,209877,4,questionnaire-rdmv,,44732933,BLINDED,13037683,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Не похоже на меня (2),2,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3
