Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1742806917485,24/03/2025 09:01,1742817717485,3,24/03/2025 15:01,209877,4,questionnaire-wmsj,,44648087,BLINDED,13014293,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,393x873,392x735,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742818362548,24/03/2025 12:12,1742829162548,3,24/03/2025 18:12,209877,4,questionnaire-wmsj,,44655009,BLINDED,13016230,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,390x844,390x663,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742827316837,24/03/2025 14:41,1742838116837,3,24/03/2025 20:41,209877,4,questionnaire-wmsj,,44660965,BLINDED,13018127,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Consent form Olga,2,consent,M,Я согласен(-на).,1
1,1742970878309,26/03/2025 06:34,1742981678309,3,26/03/2025 12:34,209877,4,questionnaire-wmsj,,44723342,BLINDED,13035221,,complete,,,mobile,undefined K,Android 10,Opera 86.0.0.0,424x942,424x786,,,0,Consent form Olga,2,consent,M,Я согласен(-на).,1
1,1742973746688,26/03/2025 07:22,1742984546688,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723658,BLINDED,13035300,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,320x694,320x598,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973744832,26/03/2025 07:22,1742984544832,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723660,BLINDED,13035301,,live,,,tablet,undefined K,Android 14,Chrome 134.0.6998.39,1152x720,1152x624,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742973730495,26/03/2025 07:22,1742984530495,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723661,BLINDED,13035302,,live,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742973727188,26/03/2025 07:22,1742984527188,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723662,BLINDED,13035303,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,414x896,414x699,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973731076,26/03/2025 07:22,1742984531076,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723663,BLINDED,13035304,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x712,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973756950,26/03/2025 07:22,1742984556950,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723669,BLINDED,13035307,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973756287,26/03/2025 07:22,1742984556287,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723672,BLINDED,13035309,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x876,392x744,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973756896,26/03/2025 07:22,1742984556896,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723673,BLINDED,13035310,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2.1,440x956,440x753,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973822493,26/03/2025 07:23,1742984622493,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723713,BLINDED,13035334,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,393x852,393x649,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742973753964,26/03/2025 07:22,1742984553964,3,26/03/2025 13:22,209877,4,questionnaire-wmsj,,44723704,BLINDED,13035327,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,412x892,411x792,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973825056,26/03/2025 07:23,1742984625056,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723716,BLINDED,13035336,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x832,384x701,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973932014,26/03/2025 07:25,1742984732014,3,26/03/2025 13:25,209877,4,questionnaire-wmsj,,44723702,BLINDED,13035326,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,412x915,411x780,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973811744,26/03/2025 07:23,1742984611744,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723699,BLINDED,13035323,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973804464,26/03/2025 07:23,1742984604464,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723700,BLINDED,13035324,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,414x896,414x714,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973832430,26/03/2025 07:23,1742984632430,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723721,BLINDED,13035338,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x832,384x696,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742973814036,26/03/2025 07:23,1742984614036,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723705,BLINDED,13035328,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x613,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973832750,26/03/2025 07:23,1742984632750,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723723,BLINDED,13035339,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x806,360x713,,,0,Consent form Olga,2,consent,M,Я согласен(-на).,1
1,1742973833018,26/03/2025 07:23,1742984633018,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723724,BLINDED,13035340,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x735,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973825340,26/03/2025 07:23,1742984625340,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723709,BLINDED,13035332,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,414x896,414x699,,,0,Consent form Olga,2,consent,F,Я согласен(-на).,1
1,1742973784688,26/03/2025 07:23,1742984584688,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723688,BLINDED,13035316,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
1,1742973793226,26/03/2025 07:23,1742984593226,3,26/03/2025 13:23,209877,4,questionnaire-wmsj,,44723691,BLINDED,13035319,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,360x800,360x663,,,0,Consent form Olga,2,consent,,Я согласен(-на).,1
