"","country_res_full","n"
"1","Argentina",139
"2","Armenia",336
"3","Australia",905
"4","Austria",232
"5","Bangladesh",290
"6","Bosnia-Herzegovina",399
"7","Brazil",304
"8","Bulgaria",287
"9","Cameroon",158
"10","Canada",701
"11","Chile",363
"12","China",364
"13","Croatia",671
"14","Czech Republic",391
"15","Ethiopia",299
"16","France",435
"17","Georgia",286
"18","Germany",699
"19","Ghana",62
"20","Greece",442
"21","Hong Kong",91
"22","Hungary",418
"23","India",388
"24","Indonesia",277
"25","Iran",383
"26","Ireland",73
"27","Israel",444
"28","Italy",566
"29","Japan",424
"30","Kazakhstan",93
"31","Kenya",1271
"32","Kosovo",207
"33","Kuwait",180
"34","Lebanon",87
"35","Malaysia",311
"36","Mexico",140
"37","Morocco",175
"38","Namibia",973
"39","New Zealand",229
"40","Nigeria",487
"41","North Macedonia",312
"42","Pakistan",437
"43","Philippines",860
"44","Poland",659
"45","Portugal",331
"46","Romania",478
"47","Russia",310
"48","Saudi Arabia",152
"49","Serbia",381
"50","Singapore",327
"51","Slovakia",274
"52","South Africa",1020
"53","Spain",426
"54","Switzerland",91
"55","Taiwan",266
"56","Thailand",308
"57","The Netherlands",136
"58","Turkey",1897
"59","Ukraine",432
"60","United Arab Emirates",62
"61","United Kingdom",514
"62","United States",1577
"63","Uzbekistan",108
"64","Vietnam",173
