StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Gender,Age,Education,US state,Race/ethnicity,Migration,DHF_endorsement_1,DHF_endorsement_2,DHF_endorsement_3,DHF_endorsement_4,DHF_endorsement_5,DHF_endorsement_6,DHF_endorsement_7,DHF_endorsement_8,DHF_endorsement_9,DHF_endorsement_10,DHF_endorsement_11,DHF_endorsement_12,DHF_endorsement_13,DHF_endorsement_14,DHF_endorsement_15,DHF_endorsement_16,DHF_endorsement_17,DHF_endorsement_18,DHF_endorsement_19,DHF_endorsement_20,DHF_endorsement_21,DHF_endorsement_22,DHF_endorsement_23,DHF_endorsement_24,DHF_endorsement_25,DHF_endorsement_26,DHF_endorsement_27,DHF_endorsement_28,DHF_endorsement_29,DHF_endorsement_30,DHF_Norms_1,DHF_Norms_2,DHF_Norms_3,DHF_Norms_4,DHF_Norms_5,DHF_Norms_6,DHF_Norms_7,DHF_Norms_8,DHF_Norms_9,DHF_Norms_10,DHF_Norms_11,DHF_Norms_12,DHF_Norms_13,DHF_Norms_14,DHF_Norms_15,DHF_Norms_16,DHF_Norms_17,DHF_Norms_18,DHF_Norms_19,DHF_Norms_20,DHF_Norms_21,DHF_Norms_22,DHF_Norms_23,DHF_Norms_24,DHF_Norms_25,DHF_Norms_26,DHF_Norms_27,DHF_Norms_28,DHF_Norms_29,DHF_Norms_30,Reciprocity_1,Reciprocity_2,Reciprocity_3,Reciprocity_4,Reciprocity_5,Reciprocity_6,Self-construal_1,Self-construal_2,Self-construal_3,Self-construal_4,Self-construal_5,Self-construal_6,Self-construal_7,Self-construal_8,Self-construal_9,Self-construal_10,Self-construal_11,Self-construal_12,Self-construal_13,Self-construal_14,Self-construal_15,Self-construal_16,Self-construal_17,Self-construal_18,Self-construal_19,Self-construal_20,Self-construal_21,Self-construal_22,Self-construal_23,Self-construal_24,Dictator comp 1,Dictator comp 2,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Dictator_decision,Ultimatum comp 1,Ultimatum comp 2,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Ultimatum Receiver_1,Ultimatum Receiver_2,Ultimatum Receiver_3,Ultimatum Receiver_4,Ultimatum Receiver_5,Ultimatum Receiver_6,Ultimatum Receiver_7,Ultimatum Receiver_8,Ultimatum Receiver_9,Ultimatum Receiver_10,Ultimatum Receiver_11,Ultimatum Proposer_1,Ultimatum Proposer_2,Ultimatum Proposer_3,Ultimatum Proposer_4,Ultimatum Proposer_5,Ultimatum Proposer_6,Ultimatum Proposer_7,Ultimatum Proposer_8,Ultimatum Proposer_9,Ultimatum Proposer_10,Ultimatum Proposer_11,Ultimatum expect_1,Ultimatum expect_2,Ultimatum expect_3,Ultimatum expect_4,Ultimatum expect_5,Ultimatum expect_6,Ultimatum expect_7,Ultimatum expect_8,Ultimatum expect_9,Ultimatum expect_10,Ultimatum expect_11
09/05/2023 18:16,09/05/2023 18:20,IP Address,100,250,TRUE,09/05/2023 18:20,R_UhZTfdN4H7I1xi9,Man,38,Bachelor’s degree,New York,White,I was born and raised in the USA,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,5,6,5,2,3,3,"Describes me a little
2
","Describes me moderately
3
",3½,"Describes me very well
4
",4½,"Describes me very well
4
",2½,3½,3½,"Describes me a little
2
",2½,"Describes me a little
2
","Describes me moderately
3
",4½,3½,"Describes me moderately
3
",3½,2½,"Describes me very well
4
",3½,3½,4½,"Describes me moderately
3
","Describes me a little
2
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,3.017,3.017,3.866,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,4.104,8.881,9.539,11,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,3,3,4,4,6,7,8,8,8,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:10,09/05/2023 18:22,IP Address,100,737,TRUE,09/05/2023 18:22,R_3kh8IL0GUhLFnfg,Man,20,"Some college credit, no degree",Texas,White,I was born and raised in the USA,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Disagree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,6,6,6,2,"Does not apply to me at all
1
","Does not apply to me at all
1
","Describes me exactly
5
",3½,"Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me a little
2
",4½,"Describes me very well
4
","Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me a little
2
",1½,4½,4½,"Describes me a little
2
","Describes me a little
2
","Describes me a little
2
","Describes me moderately
3
",3½,3½,4½,"Describes me moderately
3
",2½,1½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,12.175,12.175,13.22,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,6.54,17.057,18.678,11,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,6,7,8,9,10,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:13,09/05/2023 18:24,IP Address,100,631,TRUE,09/05/2023 18:24,R_3FPbKntZTSDlMG7,Woman,31,Doctorate degree,New York,White,I was born and raised in the USA,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Applies to me perfectly
7
","Applies to me perfectly
7
","Applies to me perfectly
7
","Does not apply to me at all
1
",2,2,"Describes me a little
2
","Doesn’t describe me at all
1
","Describes me a little
2
","Describes me very well
4
","Describes me moderately
3
","Describes me a little
2
","Describes me a little
2
","Doesn’t describe me at all
1
","Describes me moderately
3
",1½,3½,3½,"Describes me moderately
3
",3½,"Describes me exactly
5
",3½,2½,1½,"Describes me moderately
3
",3½,3½,"Describes me a little
2
","Describes me exactly
5
",3½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,9.278,9.278,11.093,1,0,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,4.22,15.702,17.518,11,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,5,1,2,3,4,5,6,6,6,6,6,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:27,09/05/2023 18:33,IP Address,100,337,TRUE,09/05/2023 18:33,R_2tankuYdRxqSQLD,Woman,32,Bachelor’s degree,New York,Asian / Pacific Islander,I was born and raised in the USA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,5,5,4,5,3,4,3½,3½,"Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me moderately
3
","Describes me very well
4
","Describes me moderately
3
","Describes me a little
2
","Describes me moderately
3
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me moderately
3
","Describes me moderately
3
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,2.636,5.96,6.733,5,0,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,3.592,14.642,15.346,16,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I accept,1,1,2,0,0,0,0,0,0,0,0,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept
09/05/2023 18:38,09/05/2023 18:49,IP Address,100,693,TRUE,09/05/2023 18:49,R_2ZPpvZEh3q1XdVy,Woman,39,Master’s degree,New York,Hispanic or Latino,I immigrated to the USA from another country,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Agree,Somewhat disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,"Applies to me perfectly
7
","Applies to me perfectly
7
","Applies to me perfectly
7
","Does not apply to me at all
1
",2,2,"Describes me very well
4
","Describes me moderately
3
",3½,1½,2½,"Describes me a little
2
","Describes me a little
2
",1½,1½,"Describes me very well
4
","Describes me very well
4
",1½,"Describes me moderately
3
",3½,"Describes me moderately
3
",2½,"Describes me moderately
3
","Describes me moderately
3
","Describes me a little
2
",2½,"Describes me very well
4
","Describes me a little
2
",3½,1½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,10.325,10.325,11.706,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,7.383,17.798,21.509,12,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,5,5,5,5,5,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:36,09/05/2023 18:53,IP Address,100,1027,TRUE,09/05/2023 18:53,R_2rTkAMyTIOr9LL2,Woman,50,"Some college credit, no degree",Texas,Black or African American,I was born and raised in the USA,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,"Applies to me perfectly
7
","Applies to me perfectly
7
","Applies to me perfectly
7
",2,2,"Does not apply to me at all
1
",3½,1½,"Describes me moderately
3
",3½,"Describes me very well
4
",4½,4½,4½,"Describes me moderately
3
","Describes me very well
4
","Describes me exactly
5
",1½,1½,4½,"Describes me exactly
5
","Describes me very well
4
",4½,"Describes me very well
4
","Describes me moderately
3
","Describes me a little
2
",4½,4½,"Describes me exactly
5
","Describes me very well
4
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,10.14,10.14,11.758,1,4,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,11.966,28.376,29.255,12,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,4,4,5,4,5,10,8,8,10,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:40,09/05/2023 18:55,IP Address,100,867,TRUE,09/05/2023 18:55,R_3NENZdjSXyso9Zj,Woman,21,"Some college credit, no degree",New York,White,I was born and raised in the USA,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,2,4,6,"Describes me very well
4
","Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me a little
2
","Describes me very well
4
",1½,1½,"Describes me moderately
3
","Describes me very well
4
","Describes me a little
2
","Doesn’t describe me at all
1
","Describes me exactly
5
",2½,"Describes me moderately
3
","Describes me very well
4
",2½,3½,"Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me a little
2
","Describes me very well
4
","Describes me moderately
3
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,3.389,3.389,9.973,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,15.303,28.38,35.973,12,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,6,7,8,9,10,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:34,09/05/2023 18:57,IP Address,100,1353,TRUE,09/05/2023 18:57,R_2ByQrnYxDn901qR,Woman,30,Bachelor’s degree,New York,Hispanic or Latino,"I was born and/or raised in the USA, but my family (parents or grandparents) immigrated to the USA from another country",Strongly agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Strongly agree,Disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Disagree,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,"Does not apply to me at all
1
","Does not apply to me at all
1
",2,"Describes me moderately
3
","Describes me very well
4
","Describes me exactly
5
",3½,"Describes me very well
4
","Describes me a little
2
",1½,"Describes me very well
4
","Describes me moderately
3
","Describes me moderately
3
","Describes me very well
4
","Describes me very well
4
","Describes me a little
2
",4½,"Describes me a little
2
","Describes me very well
4
","Describes me very well
4
","Describes me a little
2
","Describes me a little
2
",3½,"Describes me moderately
3
",3½,"Describes me a little
2
","Doesn’t describe me at all
1
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,4.749,4.749,6.438,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,1.277,22.199,23.249,14,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,6,7,8,9,10,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:49,09/05/2023 18:59,IP Address,100,626,TRUE,09/05/2023 18:59,R_31WR4A5evZWjJmI,Woman,49,Master’s degree,New York,White,I was born and raised in the USA,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,"Does not apply to me at all
1
","Does not apply to me at all
1
","Does not apply to me at all
1
","Describes me moderately
3
",1½,"Describes me exactly
5
","Describes me a little
2
","Describes me moderately
3
","Describes me very well
4
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me a little
2
","Describes me exactly
5
","Describes me very well
4
",1½,"Describes me moderately
3
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Describes me a little
2
","Describes me exactly
5
","Describes me very well
4
","Describes me very well
4
","Doesn’t describe me at all
1
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,2.147,8.695,9.522,7,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,4.415,19.797,20.716,15,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,5,5,5,5,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 18:44,09/05/2023 19:00,IP Address,100,961,TRUE,09/05/2023 19:00,R_3k0uR88dyO7Tlhf,Woman,23,Bachelor’s degree,Texas,Hispanic or Latino,I was born and raised in the USA,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,6,"Applies to me perfectly
7
",6,4,4,4,3½,"Describes me moderately
3
","Describes me moderately
3
","Describes me very well
4
",3½,3½,2½,"Describes me moderately
3
","Describes me very well
4
","Doesn’t describe me at all
1
",2½,3½,"Describes me very well
4
","Describes me moderately
3
","Describes me moderately
3
","Describes me moderately
3
","Describes me moderately
3
",2½,"Describes me moderately
3
",3½,"Describes me moderately
3
",3½,3½,3½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,6.949,6.949,8.254,1,1,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,5.812,14.334,15.825,11,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,3,2,2,5,5,5,4,4,7,8,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
