"","country_res_full","D_self_end_mean_country","D_self_end_sd_country","D_other_end_mean_country","D_other_end_sd_country","H_self_end_mean_country","H_self_end_sd_country","H_other_end_mean_country","H_other_end_sd_country","F_self_end_mean_country","F_self_end_sd_country","F_other_end_mean_country","F_other_end_sd_country","D_end_mean_country","D_end_sd_country","H_end_mean_country","H_end_sd_country","F_end_mean_country","F_end_sd_country","D_self_endc_mean_country","D_self_endc_sd_country","D_other_endc_mean_country","D_other_endc_sd_country","H_self_endc_mean_country","H_self_endc_sd_country","H_other_endc_mean_country","H_other_endc_sd_country","F_self_endc_mean_country","F_self_endc_sd_country","F_other_endc_mean_country","F_other_endc_sd_country","D_endc_mean_country","D_endc_sd_country","H_endc_mean_country","H_endc_sd_country","F_endc_mean_country","F_endc_sd_country"
"1","Argentina",5.2158273381295,0.616236707862146,5.50503597122302,0.634437299583254,3.68345323741007,0.902460173941785,4.22158273381295,0.950572869983671,4.06618705035971,0.927639513069545,3.43884892086331,0.795595738084973,5.36043165467626,0.543688250538237,3.95251798561151,0.81537143089904,3.75251798561151,0.770124301584858,0.860671462829736,0.58148086533971,1.14988009592326,0.690216588340181,-0.671702637889688,0.614818534544724,-0.13357314148681,0.605443588499138,-0.288968824940048,0.58873466883921,-0.916306954436451,0.525292141805634,1.0052757793765,0.558325351342551,-0.402637889688249,0.422020001437787,-0.602637889688249,0.397011070155619
"2","Armenia",4.9689552238806,0.588301967169856,4.92731343283582,0.757858197931719,3.7534328358209,0.766970774136576,4.61,0.745423160776987,4.12238805970149,0.767572754070345,3.42985074626866,0.780337506700282,4.94819237147595,0.531525157420031,4.18126036484245,0.652513349296901,3.77611940298507,0.698649156861207,0.667070558537362,0.614112143466751,0.625428767492586,0.769334611149987,-0.548451829522339,0.596642392987524,0.308115334656765,0.504444627088228,-0.179496605641742,0.504880412517022,-0.872033919074578,0.553824483011786,0.646307706132719,0.55400394912428,-0.12062430050078,0.398624537256625,-0.52576526235816,0.412160478781041
"3","Australia",5.01237569060774,0.595355727923427,5.1846408839779,0.695303865169445,3.38563535911602,0.798292743887252,4.13121546961326,0.831674304832094,4.02696132596685,0.799600386674443,3.47580110497238,0.856391924610808,5.09846531614487,0.541729849680421,3.75833026396562,0.718878079751585,3.75143032535298,0.740246611629152,0.809620739047296,0.590397521305196,0.981885932417462,0.678603761420221,-0.817119592444416,0.578153158084089,-0.0715394819471786,0.498444052844246,-0.175793625593587,0.525377514998377,-0.726953846588063,0.547510055889246,0.895710364584436,0.528313611280902,-0.444424687594815,0.379289612447936,-0.451324626207461,0.386538051408153
"4","Austria",4.97413793103448,0.707672324893951,5.29655172413793,0.762535192231121,3.32758620689655,0.951425106246382,3.85258620689655,1.05510190779196,3.87241379310345,0.954695500685797,3.16034482758621,1.02276082610697,5.13534482758621,0.64348271961982,3.59008620689655,0.933334566192434,3.51637931034483,0.925861617245633,0.893534482758621,0.711157121815035,1.21594827586207,0.847739523877078,-0.75301724137931,0.586369542765216,-0.22801724137931,0.595150754899857,-0.208189655172414,0.536520938195294,-0.920258620689655,0.601038487347628,1.05474137931034,0.696522337882447,-0.49051724137931,0.459244334759621,-0.564224137931035,0.450587528968434
"5","Bangladesh",5.1848275862069,0.621453930289014,5.27310344827586,0.673703308906061,4.53465517241379,0.83214862492808,5.20620689655172,0.67651873891602,5.24551724137931,0.627289363905118,4.85103448275862,0.756893783498628,5.22896551724138,0.587872504759159,4.87053639846743,0.65994361683478,5.04827586206897,0.618526371089934,0.135509314308363,0.35966056941025,0.223785176377329,0.438444564286897,-0.51466309948474,0.574343977968949,0.156888624653191,0.348324068033069,0.196198969480777,0.351688065842323,-0.198283789139913,0.453549264772237,0.179647245342846,0.293850632926161,-0.1787818734311,0.293338174320807,-0.00104240982956796,0.253141293679402
"6","Bosnia-Herzegovina",5.16942355889724,0.589154422212401,5.16641604010025,0.637815790220525,3.78847117794486,0.69207097157361,4.67568922305764,0.77016311243654,4.19799498746867,0.760716397326061,3.47368421052632,0.853184522641316,5.16791979949875,0.517700203872287,4.23208020050125,0.616338216867833,3.83583959899749,0.717192834701082,0.757477025898079,0.564874677121195,0.754469507101086,0.579427161911352,-0.623475355054303,0.57811159579135,0.26374269005848,0.483571332336541,-0.213951545530493,0.511572123798072,-0.938262322472849,0.587408060185998,0.755973266499582,0.467404708750977,-0.179866332497911,0.357551672025889,-0.576106934001671,0.405507166691578
"7","Brazil",5.03717105263158,0.683395635343692,5.53157894736842,0.611271579775954,3.47368421052632,0.841712606041404,4.45460526315789,0.80397845855495,4.13552631578947,0.899461363917194,3.31644736842105,0.86607830337898,5.2843932748538,0.530120054282369,3.9641447368421,0.711664199449072,3.72598684210526,0.783165919784631,0.71243572292801,0.642435961821315,1.20684361766485,0.669844985935489,-0.851051119177254,0.597943167584366,0.129869933454325,0.520280237489731,-0.189209013914096,0.587001079083147,-1.00828796128252,0.580900561420849,0.959657945150232,0.539800471925069,-0.360590592861464,0.378350333519589,-0.598748487598306,0.418085560719608
"8","Bulgaria",5.11428571428571,0.652942314706028,5.05574912891986,0.749424053769373,3.90104529616725,0.716805477341432,4.34773519163763,0.869965090278151,4.15400696864111,0.785962711944182,3.18257839721254,0.843802772472565,5.08501742160279,0.570625882953818,4.12439024390244,0.697270573573572,3.66829268292683,0.723195761769507,0.821718931475029,0.596698885700234,0.763182346109175,0.700424069879847,-0.391521486643438,0.540563003492605,0.0551684088269454,0.552253454412652,-0.13855981416957,0.484643527031964,-1.10998838559814,0.61337155920315,0.792450638792102,0.50492630935356,-0.168176538908246,0.386597590234044,-0.624274099883856,0.404590987428664
"9","Cameroon",5.07721518987342,0.711945279348705,5.24810126582279,0.667128223142326,4.6,1.02578228653212,5.06962025316456,0.672262920658023,5.06930379746835,0.717140568520102,4.88607594936709,0.792116278090919,5.1626582278481,0.643684079770275,4.8345288326301,0.762753055520158,4.97735583684951,0.701154291641426,0.085699216395419,0.404108600213251,0.256585292344786,0.443199955349557,-0.391515973477999,0.654737581015885,0.0781042796865583,0.311697120193583,0.0777878239903556,0.311473809326675,-0.10544002411091,0.372985593088952,0.171142254370103,0.343847497728012,-0.1569871408479,0.303789582960335,-0.014160136628491,0.19599117868681
"10","Canada",5.00827389443652,0.621601631056267,5.1253209700428,0.720944868886599,3.50014265335235,0.77538007798449,4.21176890156919,0.759045835772079,4.17689015691869,0.742337640297847,3.6077032810271,0.77282265779641,5.0668251703915,0.560023282670862,3.85596766524013,0.656352090157832,3.89223331748296,0.667615659123611,0.736597963500418,0.571991901596249,0.853645039106695,0.670382678178443,-0.771533277583747,0.599481398334373,-0.0599070293669142,0.475247791539783,-0.0947857740174135,0.512740310468069,-0.663972649908997,0.521075506953407,0.795149239455403,0.498849056519599,-0.415708265695968,0.367055612357763,-0.37944261345314,0.37257869463472
