"","country_res_full","D_self_norm_mean_country","D_other_norm_mean_country","H_self_norm_mean_country","H_other_norm_mean_country","F_self_norm_mean_country","F_other_norm_mean_country","D_norm_mean_country","H_norm_mean_country","F_norm_mean_country","D_self_normc_mean_country","D_other_normc_mean_country","H_self_normc_mean_country","H_other_normc_mean_country","F_self_normc_mean_country","F_other_normc_mean_country","D_normc_mean_country","H_normc_mean_country","F_normc_mean_country"
"1","Argentina",4.65179856115108,4.3294964028777,4.52661870503597,4.46618705035971,4.37122302158273,3.76690647482014,4.49064748201439,4.4968824940048,4.06906474820144,0.299652691639792,-0.0226494666335896,0.174472835524684,0.114041180848425,0.0190771520714463,-0.585239394691144,0.138501612503101,0.144736624493509,-0.283081121309849
"2","Armenia",3.56706586826347,3.36216216216216,4.76096096096096,5.08888888888889,4.70870870870871,4.11171171171171,3.4625748502994,4.92492492492492,4.41044377711044,-0.693657512561085,-0.905350177763971,0.493448621034828,0.821376548962756,0.441196368782576,-0.155800628214421,-0.798148530525157,0.657412584998792,0.142931437184311
"3","Australia",4.55226519337017,4.42651933701657,4.2614364640884,4.48961325966851,4.40883977900552,4.0185635359116,4.48940454266421,4.37559238796808,4.21370165745856,0.192797358226964,0.0670515018733727,-0.098031371054804,0.130145424525306,0.049371943862323,-0.3409042992316,0.129936707521009,0.0161245528248766,-0.145766177684638
"4","Austria",4.42586206896552,4.3,4.07672413793103,4.375,4.44396551724138,3.88060344827586,4.36293103448276,4.22586206896552,4.16240421455939,0.175475624256837,0.0496135552913199,-0.173662306777646,0.12461355529132,0.193579072532699,-0.369782996432818,0.112544589774079,-0.024524375743163,-0.0879822301492932
"5","Bangladesh",4.94325259515571,4.95640138408304,4.60346020761246,5.10034602076125,5.04705882352941,4.75363321799308,4.94982698961938,4.85190311418685,4.90034602076125,0.0425605536332179,0.0557093425605537,-0.297231833910035,0.199653979238754,0.14636678200692,-0.147058823529412,0.0491349480968858,-0.04878892733564,-0.000346020761245708
"6","Bosnia-Herzegovina",3.75488721804511,3.50301507537688,4.67738693467337,4.82035175879397,4.56140350877193,4.05226130653266,3.62832080200501,4.74893914014517,4.30802005012531,-0.472851669403394,-0.725296020331543,0.44907583896494,0.592040663085543,0.333664621323424,-0.176049789175764,-0.599418085443494,0.520628044436743,0.080281162676807
"7","Brazil",4.33135313531353,4.20924092409241,4.53927392739274,4.6039603960396,4.3960396039604,3.94912280701754,4.27040704070407,4.57161716171617,4.1703125,-0.00738296051827405,-0.129495171739396,0.200537831560934,0.265224300207799,0.0573035081285906,-0.38520955165692,-0.068329055127735,0.232881065884366,-0.164019858674464
"8","Bulgaria",4.19094076655052,3.53728222996516,4.57979094076655,4.45156794425087,4.26271777003484,3.75418118466899,3.86411149825784,4.51567944250871,4.00836236933798,0.0616204093075414,-0.592038127277825,0.450470583523569,0.32224758700789,0.133397412791862,-0.375139172573992,-0.265208858985142,0.38635908526573,-0.120957987905002
"9","Cameroon",4.8126582278481,4.88481012658228,4.76962025316456,4.98987341772152,4.96455696202532,4.92784810126582,4.84866385372714,4.87974683544304,4.94620253164557,-0.0788811290557254,-0.00672923032154807,-0.12191910373927,0.0983340608176924,0.0730176051214898,0.0363087443619962,-0.0428755031766817,-0.0117925214607886,0.0546631747417431
"10","Canada",4.53095577746077,4.38288159771755,4.38402282453638,4.53780313837375,4.67724679029957,4.28473609129815,4.45691868758916,4.46091298145506,4.48088445078459,0.0647187105448702,-0.0833554691983538,-0.0822142423795235,0.0715660714578516,0.211009723383672,-0.181500975617755,-0.00931837932674181,-0.00532408546083596,0.0146473838686933
