"Scale","Item","Countries_helped","Total_countries","Proportion_helped","Avg_improvement","Recommendation","Countries_not_helped","Problem_description"
"Achievement","values_13",0,7,0,-0.164714285714286,"KEEP",7,"Alpha <0.60 in 7 countries, helps 0 (0%)"
"Achievement","values_4",0,7,0,-0.164714285714286,"KEEP",7,"Alpha <0.60 in 7 countries, helps 0 (0%)"
"Benevolence","values_12",0,32,0,-0.1680625,"KEEP",32,"Alpha <0.60 in 32 countries, helps 0 (0%)"
"Benevolence","values_18",0,32,0,-0.1680625,"KEEP",32,"Alpha <0.60 in 32 countries, helps 0 (0%)"
"Conformity","values_16",0,53,0,-0.167830188679245,"KEEP",53,"Alpha <0.60 in 53 countries, helps 0 (0%)"
"Conformity","values_7",0,53,0,-0.167830188679245,"KEEP",53,"Alpha <0.60 in 53 countries, helps 0 (0%)"
"Conservation","values_14",0,10,0,-0.0105,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Conservation","values_16",0,10,0,-0.1084,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Conservation","values_20",0,10,0,-0.0048,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Conservation","values_5",0,10,0,-0.044,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Conservation","values_7",0,10,0,-0.0716,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Conservation","values_9",0,10,0,-0.0449,"KEEP",10,"Alpha <0.60 in 10 countries, helps 0 (0%)"
"Corporal_Punishment","violence_7",0,4,0,-0.08525,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Corporal_Punishment","violence_8",0,4,0,-0.1375,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Corporal_Punishment","violence_9",0,4,0,-0.08525,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Hedonism","values_10",0,25,0,-0.16568,"KEEP",25,"Alpha <0.60 in 25 countries, helps 0 (0%)"
"Hedonism","values_21",0,25,0,-0.16568,"KEEP",25,"Alpha <0.60 in 25 countries, helps 0 (0%)"
"Humor","insult1_3",0,4,0,-0.17025,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Humor","insult2_3",0,4,0,-0.1005,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Humor","insult3_3",0,4,0,-0.0425,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"Intimate_Violence","violence_10",2,44,0.045,-0.0747954545454545,"KEEP",42,"Alpha <0.60 in 44 countries, helps 2 (4.5%)"
"Intimate_Violence","violence_11",2,44,0.045,-0.0828863636363636,"KEEP",42,"Alpha <0.60 in 44 countries, helps 2 (4.5%)"
"Intimate_Violence","violence_12",0,43,0,-0.123395348837209,"KEEP",43,"Alpha <0.60 in 43 countries, helps 0 (0%)"
"Intrinsic_Religiosity","relig_intrinsic_1",1,1,1,0.254,"REMOVE",0,"Alpha <0.60 in 1 countries, helps 1 (100%)"
"Intrinsic_Religiosity","relig_intrinsic_2",0,1,0,-0.548,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"Intrinsic_Religiosity","relig_intrinsic_3",0,1,0,-0.181,"KEEP",1,"Alpha <0.60 in 1 countries, helps 0 (0%)"
"MFQ_Purity","MFQ_12",0,4,0,-0.06925,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"MFQ_Purity","MFQ_18",0,4,0,-0.059,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
"MFQ_Purity","MFQ_24",0,4,0,-0.06175,"KEEP",4,"Alpha <0.60 in 4 countries, helps 0 (0%)"
