"country_res_full","Positive_Reciprocity","Negative_Reciprocity","Penal_Code_Violence","War_Acceptance","Corporal_Punishment","Intimate_Violence","Total_Violence","Other_Face_Concern","Self_Face_Concern","Withdrawal","Retaliation","Humor","Self_Transcendence","Self_Enhancement","Openness_to_Change","Conservation","MFQ_Care","MFQ_Equality","MFQ_Proportionality","MFQ_Loyalty","MFQ_Authority","MFQ_Purity","Intrinsic_Religiosity","Composite_Religiosity","Subjective_Wellbeing"
"United States",5.66666666666667,2.66666666666667,2,3.33333333333333,1,1.33333333333333,1.91666666666667,4.33333333333333,1.75,2,4,3,4.8,5.75,4.83333333333333,3.66666666666667,4.83333333333333,2.33333333333333,4.83333333333333,3.16666666666667,3.83333333333333,2.5,4,0.410416995034439,6.2
"United States",6,3,2.33333333333333,1.66666666666667,1,1,1.5,2.5,2,5.5,3,2.5,5,3.75,3.33333333333333,3.66666666666667,4,2.5,4.16666666666667,2.66666666666667,2.5,1.83333333333333,2.66666666666667,0.0239622800727944,2.8
"United States",4,4.66666666666667,3.66666666666667,3.66666666666667,4,3.33333333333333,3.66666666666667,3.33333333333333,3,4.5,4,5,4.4,4,4,3.5,3.16666666666667,3.33333333333333,3.16666666666667,4,3.66666666666667,3.16666666666667,4,0.540268298638039,6.2
"United States",6,4.33333333333333,2,1,1,1,1.25,4,3.25,1,6,6.5,5.6,3.75,5.33333333333333,4.5,4.16666666666667,2.33333333333333,3.33333333333333,2.16666666666667,3,2.5,1,-1.12013909177942,5
"United States",4.66666666666667,3,1.66666666666667,1.33333333333333,1.66666666666667,1,1.41666666666667,2.16666666666667,2.75,2,6.5,4,4.2,4.25,3.66666666666667,2.33333333333333,3.33333333333333,3.16666666666667,4,2.16666666666667,2.33333333333333,1.16666666666667,1.33333333333333,-0.98915305910248,6
"United States",6,4.33333333333333,2.66666666666667,3.66666666666667,1,1.33333333333333,2.16666666666667,1.5,1.75,3,4.5,6,5.8,5.5,5.33333333333333,4,4.16666666666667,3.16666666666667,4,3.33333333333333,3.33333333333333,2.16666666666667,1.33333333333333,-0.98915305910248,6
"United States",5.66666666666667,2.66666666666667,2.66666666666667,3,1,1,1.91666666666667,2.33333333333333,1.75,4.5,3.5,3,4.2,3.5,3,4.66666666666667,4.33333333333333,2.33333333333333,4.5,1.83333333333333,2.83333333333333,1.5,3.33333333333333,0.504815147716924,3.2
"United States",4.33333333333333,3.33333333333333,1.33333333333333,1,2,1,1.33333333333333,2.16666666666667,2,2,5.5,4.5,3.8,4.5,3.5,2.83333333333333,2.66666666666667,2.33333333333333,3.66666666666667,1.66666666666667,2.16666666666667,1,1,-1.12013909177942,6
"United States",5.66666666666667,1.66666666666667,2.33333333333333,3.33333333333333,1,1,1.91666666666667,3,3.25,2.5,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",4.66666666666667,4.33333333333333,2,2,2,2.66666666666667,2.16666666666667,3.66666666666667,1.75,5,3.5,4.5,3.2,2.75,4,3.5,3,3,2.66666666666667,2.66666666666667,3,2.83333333333333,1,-1.12013909177942,4.2
